"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","dla_y_star","dla_y","s_dla_y_star","s_dla_ipei","s_i_star","s_dla_cpi_nosub","s_dla_y","s_dla_cpi_sub","s_dla_s","s_dla_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Tasa de variación Intertrimestral Anualizada del producto externo","Tasa de variación Intertrimestral Anualizada del producto doméstico","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]","tseries[118-by-1]"
".endhist","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4","2021Q4"
"2000Q1",955.14063,3817.71074,457.61806,0.02943,1112.43909,4444.99225,459.49793,205.11361,927.91617,338.18620,1.08544,-2.98590,662.73167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q2",955.71036,3819.72293,457.86897,0.02581,1113.28774,4448.23986,460.46807,205.10648,929.80652,339.21864,0.00000,-0.00000,662.97544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q3",955.90065,3821.43441,458.19760,0.26628,1113.87813,4451.26632,461.40850,205.00227,931.17288,340.92743,-0.00000,-0.00000,663.19987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q4",957.22457,3823.97621,458.74645,-0.32153,1115.16899,4454.77395,462.18927,205.15563,930.06526,341.10136,-1.08544,2.98590,663.90208,NaN,NaN,NaN,5.65333,NaN,NaN,NaN,NaN,NaN,NaN,6.06699,NaN,NaN,NaN,NaN,NaN,2.19540,NaN,0.61344,-2.35127,3.12308,NaN,-4.43047,NaN,NaN,5.29568,5.16342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001Q1",955.98064,3824.81623,460.33609,-0.01816,1115.71159,4458.04644,462.93904,204.72486,937.46194,341.57971,-0.02638,-5.81807,665.06095,0.84001,1.77637,2.71803,5.54000,-0.04760,3.27249,3.26355,3.44111,-0.38875,9.54576,5.78667,3.39351,-1.11183,-2.83216,2.22422,2.32928,6.35857,4.23624,-1.72308,1.21347,2.99907,1.91340,29.58669,-35.21589,4.63548,-4.97574,2.17040,-5.97816,7.11690,-0.05671,0.16487,4.91675,-0.28139,-2.03889,18.39901,0.01273
"2001Q2",956.60338,3825.70925,459.09315,-0.48701,1110.50941,4455.26811,464.81447,205.06956,938.30516,343.05221,-3.15914,-6.93058,664.16271,0.89302,1.49658,1.22418,4.28667,-0.51283,-2.77833,1.75706,4.34640,-0.03692,8.49864,4.81667,3.83357,-3.15914,-6.93058,-1.69558,1.18726,-4.97177,-12.53101,1.37880,-1.87540,7.50172,5.88998,3.37290,-4.45005,-3.59297,2.49098,-20.80872,-1.20184,-6.77082,-1.16213,-2.30270,-23.75331,4.92360,1.33352,-1.75221,-1.19756
"2001Q3",956.20178,3826.01038,457.73910,-1.05025,1110.21623,4451.60621,467.24016,206.26031,940.24946,345.44256,-5.03212,-6.90682,663.99940,0.30113,1.14399,-0.45850,3.41000,-1.31653,-3.66190,0.08497,5.83166,1.25804,9.07658,4.76333,4.51512,-5.03212,-6.90682,-3.50734,0.79954,-5.41620,-7.49194,4.76299,-2.25294,9.70276,9.56141,7.77720,0.09504,-0.65321,-1.60639,-1.17268,-3.34345,-4.73524,-0.77518,-2.13567,-5.38231,3.41863,2.04135,-11.39902,-0.50422
"2001Q4",956.47648,3825.26229,455.18158,-1.53699,1117.19312,4453.63035,469.77513,208.56396,947.10900,347.47177,-8.82785,-4.44783,663.74554,-0.74810,0.32152,-3.56487,2.08000,-1.21545,2.02414,-0.28590,7.58586,3.40833,17.04374,4.64000,6.37041,-7.74241,-7.43374,-4.11743,-0.15654,-10.23008,-15.18291,9.21461,-1.94695,10.13990,8.11685,27.43815,9.83594,-1.01547,1.09877,27.90755,-1.71151,-10.15988,-1.21568,-1.32691,25.65597,0.97476,3.27754,10.84981,-0.43452
"2002Q1",957.30928,3826.59093,454.70934,-1.86890,1118.65760,4456.57636,473.40317,207.39932,952.17165,350.19311,-13.44281,-7.11764,662.10865,1.32864,0.44368,-5.62675,1.80667,-1.85074,2.94602,-0.36752,10.46413,2.67446,14.70972,4.67000,8.61340,-13.41643,-1.29957,-7.54784,-2.95230,-1.88897,-18.45985,-4.65857,-1.32765,14.51214,10.88535,20.25061,-10.67921,-6.54754,3.33121,5.85792,1.22949,-2.35409,-0.27050,-2.11569,5.24920,5.05690,-8.94312,4.68970,-0.68737
"2002Q2",957.91968,3827.90723,456.28707,-2.09015,1115.47666,4461.54361,475.25056,206.22018,951.41204,351.88517,-15.25068,-4.63412,662.50725,1.31630,0.54949,-2.80607,1.78000,-1.60313,4.96725,1.56888,10.43609,1.15062,13.10688,4.42000,8.83296,-12.09155,2.29646,-2.22679,-1.65545,6.31095,-7.23148,-4.71655,-0.88498,7.38957,6.76824,-3.03844,9.93407,1.59440,2.44160,-12.72378,0.92463,4.79645,-0.07586,-2.14816,-16.93723,-5.64965,-0.59229,-5.32945,-1.29468
"2002Q3",958.32547,3830.03092,456.92730,-2.68130,1116.06138,4467.38876,476.54154,205.45377,950.27729,353.11289,-15.95184,-1.78812,662.38107,2.12369,1.00513,-0.81180,1.80667,-1.63105,5.84515,3.94564,9.30138,-0.80654,10.02783,4.49000,7.67034,-10.91971,5.11870,-0.36627,-1.61833,2.56091,-2.80462,-3.06564,-2.36460,5.16391,4.91091,-4.53899,11.38399,-0.50472,1.62317,2.33891,-0.12682,0.32499,0.02778,-2.26643,-3.27441,-1.38093,-3.06965,-20.07108,-0.25921
"2002Q4",958.44937,3832.00380,457.09604,-3.31819,1120.18260,4470.37824,477.78293,203.64259,961.08946,353.69836,-19.84255,-7.43103,660.73862,1.97289,1.68538,1.91446,1.40333,-1.78121,2.98948,4.18697,8.00779,-4.92137,13.98046,4.03000,6.22658,-11.01470,-2.98319,-1.33930,-3.00691,0.67494,-15.56286,-7.24472,-2.54759,4.96554,2.34185,43.24867,-22.57163,-6.56978,0.49557,16.48486,-1.46879,-0.47891,-0.37560,-2.46306,14.80755,0.11161,-10.23394,19.75134,-0.44023
"2003Q1",958.97421,3833.66873,459.18397,-2.74088,1123.11101,4474.83166,480.09421,206.00713,960.66425,356.01217,-17.05140,-4.46579,665.19110,1.66493,1.76945,4.47463,1.34667,-0.87198,4.45341,4.56382,6.69104,-1.39218,8.49260,2.19000,5.81906,-3.60859,2.65185,-6.01927,3.08245,8.35174,11.16462,9.45818,2.30926,9.24513,9.25524,-1.70084,11.86097,17.80991,2.09937,11.71366,-0.16035,6.92370,-0.10795,-0.23373,9.54865,3.14196,10.06565,3.93520,-1.64432
"2003Q2",959.85644,3835.60549,457.91375,-3.13043,1117.80414,4477.15914,481.63835,206.81272,963.43160,357.23267,-19.41925,-7.93841,664.72647,1.93676,1.92457,1.62667,1.34667,-1.04028,2.32748,3.90388,6.38779,0.59255,12.01956,0.93000,5.34750,-4.16857,-3.30429,-4.95249,2.21922,-5.08089,-9.47141,3.22236,-1.55821,6.17656,4.88201,11.06938,-13.89048,-1.85853,3.52891,-21.22751,1.68928,-8.35372,0.03854,-0.30993,-23.94935,-1.54485,3.22463,-10.08424,-2.16383
"2003Q3",961.50585,3838.78587,458.28300,-3.89997,1118.28994,4479.38769,482.73091,207.19069,962.44035,358.08359,-19.04858,-5.53325,665.47369,3.18038,2.18874,1.35570,1.07333,-1.21868,2.22856,2.99973,6.18937,1.73692,12.16306,1.44333,4.97069,-3.09675,-3.74513,-3.02843,3.09262,1.47701,1.48266,1.51188,-3.07818,4.37024,3.40366,-3.96498,9.62062,2.98889,6.59767,1.94322,5.13248,-1.32406,-0.34113,-3.03432,-10.46525,-0.75332,0.92425,-30.04893,-0.12662
"2003Q4",962.66003,3842.99653,458.85923,-3.49141,1121.48118,4480.68628,483.63417,208.81468,969.65403,359.37638,-18.75851,-8.84577,667.67391,4.21067,2.74818,1.76319,0.99333,-0.17322,1.29858,2.57701,5.85124,5.17209,8.56457,1.83333,5.67802,1.08404,-1.41474,-2.36847,6.93528,2.30492,1.16030,6.49595,1.63425,3.61304,5.17118,28.85473,-13.25008,8.80087,4.61672,12.76497,3.95533,-0.93437,-0.13441,2.08897,6.02379,-0.82435,6.53921,-6.85839,0.26873
"2004Q1",963.22495,3847.24728,461.15567,-2.42255,1124.74966,4482.32492,485.92958,209.22753,969.71834,362.16587,-17.69467,-6.04586,670.38320,4.25074,3.39464,1.97170,1.04000,0.31833,1.63865,1.87332,5.83537,3.22040,9.05409,1.87667,6.15370,-0.64327,-1.58007,-6.29645,5.19210,9.18577,4.25537,1.65140,4.27547,9.18164,11.15796,0.25723,11.19965,10.83718,2.25968,13.07391,1.07942,7.01653,-0.02614,2.57236,9.57256,4.23626,0.89349,-8.21373,-0.07960
"2004Q2",963.99711,3851.38795,462.79274,-2.07012,1120.51563,4485.03642,487.44441,207.81746,969.84557,364.09904,-19.34158,-5.83483,670.61020,4.14068,3.94562,4.87899,1.14333,1.06031,2.71150,1.96932,5.80606,1.00473,6.41398,2.09333,6.86637,0.07767,2.10358,-3.68822,5.88373,6.54827,-6.58766,-5.64030,1.40971,6.05932,7.73268,0.50893,0.84412,0.90798,3.08864,-16.93611,1.29100,3.32229,0.05612,1.38276,-19.50729,-2.34745,-2.28443,-14.86718,-0.72880
"2004Q3",964.94079,3854.82289,463.90058,-2.58378,1121.18258,4487.92906,488.90597,206.72844,970.54681,365.57484,-20.06832,-4.57201,670.62902,3.43493,4.00925,5.61758,1.59333,1.31619,2.89264,2.13534,6.17506,-0.46225,8.10646,2.40333,7.49125,-1.01974,0.96124,-3.27408,5.15533,4.43135,-2.90695,-4.35606,-2.05466,5.84625,5.90319,2.80494,5.05127,0.07528,3.77470,2.66778,2.19419,1.20427,0.40603,-1.92866,-5.93538,0.41057,-4.14280,-14.74541,-0.17195
