"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i_star","i","ln_y","ln_y_star"
"2017Q1",550.07423,199.59918,1091.15367,429.79883,480.68473,0.65000,3.00000,1170.09063,987.29407
"2017Q2",550.54242,199.38586,1096.58179,431.22355,480.47614,0.90667,3.00000,1167.83694,987.85235
"2017Q3",550.98626,198.81323,1096.48721,431.88256,481.94748,1.06667,3.00000,1167.76438,988.63821
"2017Q4",551.64932,199.34465,1110.25619,434.22264,482.97660,1.15667,2.83333,1171.62091,989.75902
"2018Q1",552.29627,200.05220,1103.98323,433.85638,483.96188,1.45333,2.75000,1172.76353,990.56901
"2018Q2",552.97322,201.29370,1102.43667,434.94375,485.29832,1.76667,2.75000,1172.01413,991.09844
"2018Q3",553.62945,203.52743,1103.83016,436.33405,484.84760,2.00000,2.75000,1171.20042,991.72031
"2018Q4",554.14459,204.51089,1117.27269,436.50922,482.86659,2.26667,2.75000,1174.75313,991.86175
"2019Q1",554.72148,203.99830,1109.91010,437.94278,484.22121,2.41000,2.75000,1176.41409,992.40350
"2019Q2",555.33954,204.18685,1112.27381,439.63211,483.42966,2.41667,2.75000,1175.77089,993.22936
"2019Q3",555.77854,204.19905,1113.89358,438.12233,482.86114,2.14333,2.75000,1175.15530,994.35541
"2019Q4",556.33026,203.97395,1128.00813,439.85804,482.83137,1.56333,2.75000,1179.13641,994.99464
"2020Q1",556.81653,203.94589,1125.27885,439.69571,480.19156,1.08333,2.75000,1177.22786,993.62258
"2020Q2",557.27322,204.08860,1129.33007,441.99305,479.16060,0.06000,2.00000,1166.06726,985.40242
"2020Q3",557.85729,204.86220,1139.81889,442.96854,481.37456,0.09333,1.75000,1173.74397,992.87556
"2020Q4",558.51389,205.42800,1154.53046,444.56900,482.75831,0.09000,1.75000,1181.63273,993.90526
"2021Q1",559.38699,204.38569,1145.90077,445.37308,487.82434,0.08000,1.75000,1181.61084,995.18252
"2021Q2",559.92008,204.62099,1148.17794,445.82587,491.58457,0.07000,1.75000,1180.56811,996.69083
"2021Q3",560.73653,204.53499,1148.35100,446.57380,492.46608,0.09000,1.75000,1181.64093,997.50219
"2021Q4",562.14164,204.45154,1165.70431,447.59070,493.95647,0.08000,1.75000,1186.30469,999.18464
"2022Q1",564.18086,204.04558,1156.09877,449.45955,501.65325,0.12000,1.75000,1186.23577,998.68586
"2022Q2",566.62231,204.57643,1160.54098,453.10799,504.17516,0.77000,2.00000,1185.21240,998.54453
"2022Q3",568.87049,205.41772,1159.03660,455.22272,499.61567,2.19000,2.66667,1185.50416,999.20065
"2022Q4",570.65113,206.28183,1172.51084,456.42502,497.64317,3.65333,3.50000,1189.66542,999.83431
"2023Q1",572.06965,205.47616,1165.43052,457.81360,496.88234,4.51667,4.41667,1190.16314,1000.38893
"2023Q2",573.10583,205.90243,1172.42749,457.91962,495.59334,4.99000,4.91667,1189.24708,1000.89911
"2023Q3",574.39714,206.27349,1167.50409,459.80322,497.02507,5.26000,5.00000,1189.44813,1002.08572
"2023Q4",575.40295,205.72166,1182.22827,460.51702,494.96550,5.33000,5.00000,1191.66897,1002.92079
"2024Q1",575.85672,205.45303,1180.12753,460.99587,496.45078,5.33000,5.00000,NaN,1003.31508
