"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i_star","i","ln_y","ln_y_star"
"Comments ->","Inflación subyacente","Tipo de cambio Q/$","Base Monetaria","Inflación total","","Tasa de interés de fondos federales","Tasa de interés","Producto Doméstico","Producto Externo"
"Class[Size] ->","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]"
".endhist","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1"
"2005Q1",493.45380,203.07764,982.21148,371.29127,467.52449,2.66000,2.63667,1128.05393,967.05903
"2005Q2",494.89469,202.94632,981.09445,373.07362,468.41965,3.13667,2.85985,1125.35004,967.55073
"2005Q3",496.18176,203.07764,982.70654,375.21754,471.59832,3.62333,3.33671,1123.54617,968.33146
"2005Q4",498.03388,202.94632,995.90405,376.95937,470.55193,4.04667,3.90152,1127.54751,968.88515
"2006Q1",500.29605,203.07764,995.75448,378.31910,471.19639,4.66333,4.25000,1132.85217,970.22156
"2006Q2",501.54707,202.94632,999.53372,380.35457,474.61453,4.98667,4.45152,1128.22461,970.48049
"2006Q3",502.51913,202.94632,999.18006,380.75939,474.18515,5.32000,4.92857,1129.95008,970.62980
"2006Q4",503.69733,202.81482,1014.79111,382.59033,473.79704,5.26333,5.00000,1135.09617,971.48602
"2007Q1",506.09544,203.99208,1014.62494,385.10748,474.91640,5.34667,5.00758,1138.89687,971.78625
"2007Q2",507.25332,203.86195,1017.24607,385.53144,477.59816,5.29333,5.42857,1135.30677,972.39601
"2007Q3",508.90135,204.12203,1018.00771,387.83470,478.79842,4.94000,5.50833,1135.61336,972.97054
"2007Q4",510.89685,203.20878,1025.54780,390.97504,482.48127,4.10667,6.01569,1139.85803,973.59679
"2008Q1",514.06565,203.33976,1018.80949,393.81654,486.82977,2.91333,6.51190,1141.78409,973.16904
"2008Q2",516.61194,201.35688,1018.91062,398.24479,493.19567,2.27333,6.75000,1140.91759,973.76278
"2008Q3",518.63879,200.95554,1020.51391,399.83352,489.16453,2.02000,7.12681,1138.72749,973.23611
"2008Q4",520.00226,204.25182,1026.25561,399.95932,474.46549,0.29333,7.25000,1142.67018,971.02304
"2009Q1",520.95840,208.93919,1021.31427,398.69418,473.87285,0.20333,6.87727,1141.66326,969.88161
"2009Q2",521.58899,209.55609,1026.47012,398.86011,478.08520,0.20333,5.80303,1139.95989,969.70229
"2009Q3",522.37665,211.86623,1029.14368,399.86636,478.81526,0.13333,4.86430,1140.10337,970.05326
"2009Q4",522.94830,211.98635,1036.73568,399.68017,480.96158,0.09667,4.50000,1144.85779,971.12853
"2010Q1",524.56175,208.19384,1036.55756,402.54916,482.35911,0.11333,4.50000,1144.63700,971.61153
"2010Q2",525.43898,208.06908,1033.26106,402.84699,482.08650,0.16000,4.50000,1143.04185,972.57475
"2010Q3",526.32308,208.93919,1034.47509,403.55606,482.79717,0.18000,4.50000,1141.89136,973.34285
"2010Q4",527.26501,207.69384,1043.71377,404.93330,486.52385,0.17667,4.50000,1148.05262,973.86660
"2011Q1",528.92165,204.25182,1043.65071,407.31471,491.87075,0.14333,4.50000,1148.54381,973.62871
"2011Q2",530.30800,205.28409,1044.95461,409.07628,493.65610,0.08667,4.75000,1147.44653,974.30312
"2011Q3",531.60239,206.05135,1040.58827,410.55242,493.60050,0.08333,4.91667,1147.46804,974.28081
"2011Q4",532.64324,205.41237,1052.95276,410.94869,492.90135,0.07667,5.50000,1151.61094,975.39778
"2012Q1",533.92112,204.51089,1050.39189,411.86724,494.35064,0.10000,5.50000,1152.28897,976.23271
"2012Q2",535.04867,206.05135,1049.36048,412.49041,491.24868,0.13667,5.50000,1150.09177,976.67797
"2012Q3",536.31368,207.69384,1047.39670,413.78016,492.97166,0.11667,5.00000,1149.94572,976.82232
"2012Q4",537.42279,206.55961,1062.48796,414.33696,492.13864,0.14333,5.00000,1155.10812,976.93789
"2013Q1",538.74653,205.54050,1062.95108,416.11426,493.18607,0.12667,5.00000,1155.17636,977.91934
"2013Q2",539.72473,205.66846,1058.47696,417.17276,491.71061,0.10000,5.25000,1154.44368,978.18678
"2013Q3",540.34163,207.19133,1055.44107,417.90446,492.08602,0.07333,5.25000,1153.63733,979.03468
"2013Q4",541.11205,206.17866,1067.03474,418.63084,491.08686,0.07000,5.00000,1157.91738,979.90211
"2014Q1",541.97008,204.51089,1060.08384,419.30869,493.00350,0.06333,5.00000,1159.25639,979.55682
"2014Q2",542.70760,205.41237,1060.16272,420.25689,492.40989,0.08667,4.75000,1158.66387,980.84018
"2014Q3",543.34638,204.38144,1062.77869,421.29812,490.89336,0.07333,4.50000,1157.85526,982.04809
"2014Q4",543.95678,203.07764,1075.36898,421.53557,486.27234,0.07000,4.33333,1162.77263,982.55260
"2015Q1",544.68022,203.20878,1076.42698,421.70484,483.25986,0.06000,3.83333,1163.81797,983.44911
"2015Q2",545.45305,203.47056,1079.13726,422.61393,483.70124,0.08000,3.50000,1161.74306,984.06649
"2015Q3",546.11059,204.03841,1077.70983,423.15712,480.44353,0.07667,3.25000,1162.65699,984.46607
"2015Q4",546.76899,202.99203,1085.30873,424.55574,478.31881,0.11667,3.00000,1166.38284,984.65044
"2016Q1",547.43821,204.34464,1080.09461,425.87832,476.93947,0.27667,3.00000,1165.47991,985.22837
"2016Q2",548.07545,203.37748,1085.45854,426.95121,479.39275,0.29667,3.00000,1165.37852,985.54888
"2016Q3",548.62845,201.83569,1084.29400,427.61498,479.21656,0.29667,3.00000,1164.70570,986.25562
"2016Q4",549.34180,201.54813,1098.62601,428.70104,479.97988,0.39000,3.00000,1169.59282,986.80883
