"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","s_d4_ln_y_star","s_d4_ln_ipei","s_i_star","s_d4_ln_cpi_nosub","s_d4_ln_y","s_d4_ln_cpi_sub","s_d4_ln_s","s_d4_ln_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]","tseries[105-by-1]"
".endhist","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3","2022Q3"
"2004Q1",964.49449,3851.60226,458.55192,-0.04684,1123.31509,4469.91736,488.31513,204.62198,962.01307,365.81760,-0.18223,1.53252,663.17391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q2",964.51157,3853.99859,460.48590,0.00000,1120.27675,4474.35382,489.38003,203.38272,964.59431,366.75967,0.00000,-0.00000,663.86862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q3",964.80096,3856.47381,463.01264,-0.00000,1118.03752,4478.91318,490.16485,203.95227,966.22585,367.86992,-0.00000,0.00000,666.96490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q4",965.20373,3859.01074,463.87923,0.04684,1121.94898,4483.57834,491.45295,204.96241,973.80547,369.70713,0.18223,-1.53252,668.84164,2.53694,NaN,6.99819,2.61472,-0.45124,4.66516,NaN,4.70754,-0.23968,16.75587,2.52096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2005Q1",967.05903,3861.57529,466.30678,-0.27088,1128.05393,4488.31719,493.45676,204.11910,979.09954,370.73518,1.92812,-5.67348,670.42588,2.56454,2.49326,7.75485,2.66000,-0.22404,4.73885,4.59996,5.14163,-0.50288,17.08647,2.63667,4.91759,2.11034,-7.20599,-3.17201,7.25197,9.71017,6.98355,-3.37321,-1.27087,8.01525,4.11221,21.17627,-16.56383,6.33696,0.42795,2.04482,0.03520,-0.27685,0.06376,0.09297,-0.19014,0.46408,-0.02819
"2005Q2",967.55073,3864.61445,468.64551,0.07468,1125.35004,4493.39047,495.01800,202.85860,981.87129,372.47232,1.99752,-6.56571,671.50411,3.03916,2.65396,8.15961,3.13667,0.07468,5.07329,4.75916,5.63798,-0.52412,17.27698,2.85985,5.71265,1.99752,-6.56571,-3.29133,7.63549,9.35494,0.27760,-5.04202,1.38223,6.24497,6.94856,11.08699,-3.56896,4.31293,0.89057,1.59090,0.43268,-0.21123,0.07436,0.11656,-0.19506,0.73893,-0.04132
"2005Q3",968.33146,3868.14495,471.73545,0.48193,1123.54617,4498.89912,496.34791,202.81465,982.92692,374.53492,1.40214,-5.00935,674.55010,3.53050,2.91779,8.72281,3.62333,0.48193,5.50865,4.99649,6.18306,-1.13762,16.70106,3.33671,6.66500,1.40214,-5.00935,-3.16953,7.58520,12.35976,-2.38152,-0.17578,1.62902,5.31962,8.25039,4.22252,6.22544,12.18397,1.17556,1.66685,0.42688,-0.07270,0.16297,0.18084,-0.65449,0.49492,0.06183
