"Variables ->","L_CPI_RW","DLA_CPI_RW","D4L_CPI_RW"
"Comments ->","Índice de Precios de transables (Logaritmo)","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Interanual del Índice de Precios de Transables"
"Class[Size] ->","tseries[111-by-1]","tseries[111-by-1]","tseries[111-by-1]"
"2017Q2",4.80476136e+02,-8.34379288e-01,1.08338612e+00
"2017Q3",4.81947479e+02,5.88537053e+00,2.73092224e+00
"2017Q4",4.82976596e+02,4.11646825e+00,2.99671747e+00
"2018Q1",4.83961882e+02,3.94114461e+00,3.27715103e+00
"2018Q2",4.85298315e+02,5.34573336e+00,4.82217919e+00
"2018Q3",4.84847595e+02,-1.80288156e+00,2.90011617e+00
"2018Q4",4.82866587e+02,-7.92403262e+00,-1.10009052e-01
"2019Q1",4.84221215e+02,5.41851075e+00,2.59332485e-01
"2019Q2",4.83429657e+02,-3.16623076e+00,-1.86865854e+00
"2019Q3",4.82861143e+02,-2.27405592e+00,-1.98645214e+00
"2019Q4",4.82831374e+02,-1.19076651e-01,-3.52131449e-02
"2020Q1",4.80191564e+02,-1.05592374e+01,-4.02965017e+00
"2020Q2",4.79160601e+02,-4.12385523e+00,-4.26905629e+00
"2020Q3",4.81374563e+02,8.85584894e+00,-1.48658008e+00
"2020Q4",4.82758305e+02,5.53496900e+00,-7.30686622e-02
"2021Q1",4.87824337e+02,2.02641283e+01,7.63277276e+00
"2021Q2",4.91584574e+02,1.50409487e+01,1.24239737e+01
"2021Q3",4.92466081e+02,3.52602796e+00,1.10915185e+01
"2021Q4",4.93956475e+02,5.96157396e+00,1.11981697e+01
"2022Q1",5.01653255e+02,3.07871204e+01,1.38289178e+01
"2022Q2",5.04175164e+02,1.00876376e+01,1.25905900e+01
"2022Q3",4.99615668e+02,-1.82379868e+01,7.14958629e+00
"2022Q4",4.97643166e+02,-7.89000537e+00,3.68669146e+00
"2023Q1",4.96882344e+02,-3.04329002e+00,-4.77091115e+00
"2023Q2",4.95593341e+02,-5.15601042e+00,-8.58182315e+00
"2023Q3",4.97025070e+02,5.72691646e+00,-2.59059734e+00
"2023Q4",4.94941645e+02,-8.33370085e+00,-2.70152121e+00
"2024Q1",4.96476876e+02,6.14092425e+00,-4.05467640e-01
"2024Q2",4.97701538e+02,4.89864697e+00,2.10819671e+00
"2024Q3",4.98708801e+02,4.02905288e+00,1.68373082e+00
"2024Q4",4.99563885e+02,3.42033702e+00,4.62224028e+00
"2025Q1",5.00312444e+02,2.99423591e+00,3.83556820e+00
"2025Q2",5.00986436e+02,2.69596514e+00,3.28489774e+00
"2025Q3",5.01608229e+02,2.48717560e+00,2.89942842e+00
"2025Q4",5.02193485e+02,2.34102292e+00,2.62959989e+00
"2026Q1",5.02753164e+02,2.23871604e+00,2.44071992e+00
"2026Q2",5.03294940e+02,2.16710123e+00,2.30850395e+00
"2026Q3",5.03824182e+02,2.11697086e+00,2.21595276e+00
"2026Q4",5.04344652e+02,2.08187960e+00,2.15116693e+00
"2027Q1",5.04858981e+02,2.05731572e+00,2.10581685e+00
"2027Q2",5.05369011e+02,2.04012101e+00,2.07407180e+00
"2027Q3",5.05876033e+02,2.02808470e+00,2.05185026e+00
"2027Q4",5.06380947e+02,2.01965929e+00,2.03629518e+00
"2028Q1",5.06884388e+02,2.01376150e+00,2.02540663e+00
"2028Q2",5.07386796e+02,2.00963305e+00,2.01778464e+00
"2028Q3",5.07888482e+02,2.00674314e+00,2.01244925e+00
"2028Q4",5.08389662e+02,2.00472020e+00,2.00871447e+00
"2029Q1",5.08890488e+02,2.00330414e+00,2.00610013e+00
"2029Q2",5.09391066e+02,2.00231290e+00,2.00427009e+00
"2029Q3",5.09891471e+02,2.00161903e+00,2.00298906e+00
"2029Q4",5.10391754e+02,2.00113332e+00,2.00209234e+00
"2030Q1",5.10891952e+02,2.00079332e+00,2.00146464e+00
"2030Q2",5.11392091e+02,2.00055533e+00,2.00102525e+00
"2030Q3",5.11892188e+02,2.00038873e+00,2.00071767e+00
"2030Q4",5.12392257e+02,2.00027211e+00,2.00050237e+00
"2031Q1",5.12892304e+02,2.00019048e+00,2.00035166e+00
"2031Q2",5.13392337e+02,2.00013333e+00,2.00024616e+00
"2031Q3",5.13892361e+02,2.00009333e+00,2.00017231e+00
