"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i_star","i","ln_y","ln_y_star"
"Comments ->","Inflación subyacente","Tipo de cambio Q/$","Base Monetaria","Inflación total","","Tasa de interés de fondos federales","Tasa de interés","Producto Interno Bruto real de Guatemala (desestacionalizado)","Producto Externo"
"Class[Size] ->","tseries[81-by-1]","tseries[81-by-1]","tseries[81-by-1]","tseries[81-by-1]","tseries[81-by-1]","tseries[81-by-1]","tseries[81-by-1]","tseries[81-by-1]","tseries[81-by-1]"
".endhist","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1","2025Q1"
"2005Q1",493.47625,203.07764,982.21148,370.11498,467.52449,2.96000,2.75000,1125.09604,967.05903
"2005Q2",494.91802,202.94632,981.09445,371.89733,468.41965,3.35000,3.00000,1127.01572,967.55073
"2005Q3",496.20603,203.07764,982.70654,374.04125,471.59832,3.93000,3.61364,1125.84510,968.33146
"2005Q4",498.05962,202.94632,995.90405,375.78308,470.55193,4.09000,4.11364,1126.52988,968.88515
"2006Q1",500.32367,203.07764,995.75448,377.14281,471.19639,5.00000,4.25000,1130.13536,970.22156
"2006Q2",501.57575,202.94632,999.53372,379.17828,474.61453,5.05000,4.57955,1129.73028,970.48049
"2006Q3",502.54841,202.94632,999.18006,379.58310,474.18515,5.34000,5.00000,1132.24823,970.62980
"2006Q4",503.72740,202.81482,1014.79111,381.41404,473.79704,5.17000,5.00000,1133.92685,971.48602
"2007Q1",506.12736,203.99208,1014.62494,383.93119,474.91640,5.30000,5.02273,1136.51413,971.78625
"2007Q2",507.28608,203.86195,1017.24607,384.35515,477.59816,5.31000,5.50000,1136.62429,972.39601
"2007Q3",508.93518,204.12203,1018.00771,386.65840,478.79842,4.58000,5.52500,1137.94024,972.97054
"2007Q4",510.93216,203.20878,1025.54780,389.79875,482.48127,3.06000,6.28571,1138.46841,973.59679
"2008Q1",514.10329,203.33976,1018.80949,392.64025,486.82977,2.51000,6.53571,1139.75530,973.16904
"2008Q2",516.65151,201.35688,1018.91062,397.06850,493.19567,2.47000,6.75000,1142.10142,973.76278
"2008Q3",518.68001,200.95554,1020.51391,398.65723,489.16453,2.03000,7.25000,1141.02950,973.23611
"2008Q4",520.04458,204.25182,1026.25561,398.78303,474.46549,0.14000,7.25000,1141.10323,971.02304
"2009Q1",521.00173,208.93919,1021.31427,397.51788,473.87285,0.16000,6.45455,1139.93843,969.88161
"2009Q2",521.63275,209.55609,1026.47012,397.68381,478.08520,0.22000,5.54545,1141.02774,969.70229
"2009Q3",522.42097,211.86623,1029.14368,398.69006,478.81526,0.07000,4.63636,1142.41128,970.05326
"2009Q4",522.99302,211.98635,1036.73568,398.50387,480.96158,0.05000,4.50000,1143.10979,971.12853
"2010Q1",524.60784,208.19384,1036.55756,401.37287,482.35911,0.09000,4.50000,1143.17918,971.61153
"2010Q2",525.48584,208.06908,1033.26106,401.67069,482.08650,0.09000,4.50000,1144.01487,972.57475
"2010Q3",526.37049,208.93919,1034.47509,402.37977,482.79717,0.15000,4.50000,1144.16288,973.34285
"2010Q4",527.31305,207.69384,1043.71377,403.75700,486.52385,0.13000,4.50000,1146.25729,973.86660
"2011Q1",528.98028,204.25182,1043.65071,406.13842,491.87075,0.10000,4.50000,1147.22137,973.62871
"2011Q2",530.37625,205.28409,1044.95461,407.89998,493.65610,0.07000,4.75000,1148.33900,974.30312
"2011Q3",531.67992,206.05135,1040.58827,409.37613,493.60050,0.06000,5.00000,1149.72457,974.28081
"2011Q4",532.72966,205.41237,1052.95276,409.77240,492.90135,0.04000,5.50000,1149.83519,975.39778
"2012Q1",534.01660,204.51089,1050.39189,410.69095,494.35064,0.09000,5.50000,1150.99254,976.23271
"2012Q2",535.15238,206.05135,1049.36048,411.31412,491.24868,0.09000,5.50000,1150.98199,976.67797
"2012Q3",536.42561,207.69384,1047.39670,412.60387,492.97166,0.09000,5.00000,1152.10818,976.82232
"2012Q4",537.54306,206.55961,1062.48796,413.16067,492.13864,0.09000,5.00000,1153.43503,976.93789
"2013Q1",538.87663,205.54050,1062.95108,414.93797,493.18607,0.09000,5.00000,1153.87663,977.91934
"2013Q2",539.86308,205.66846,1058.47696,415.99646,491.71061,0.07000,5.25000,1155.29756,978.18678
"2013Q3",540.48790,207.19133,1055.44107,416.72816,492.08602,0.06000,5.25000,1155.76183,979.03468
"2013Q4",541.26764,206.17866,1067.03474,417.45455,491.08686,0.07000,5.00000,1156.29722,979.90211
"2014Q1",542.13387,204.51089,1060.08384,418.13240,493.00350,0.06000,5.00000,1157.97259,979.55682
"2014Q2",542.88058,205.41237,1060.16272,419.08060,492.40989,0.09000,4.75000,1159.51397,980.84018
"2014Q3",543.52634,204.38144,1062.77869,420.12183,490.89336,0.07000,4.50000,1159.89191,982.04809
"2014Q4",544.13991,203.07764,1075.36898,420.35928,486.27234,0.06000,4.00000,1161.22145,982.55260
"2015Q1",544.87223,203.20878,1076.42698,420.52854,483.25986,0.06000,3.50000,1162.56166,983.44911
"2015Q2",545.65366,203.47056,1079.13726,421.43764,483.70124,0.08000,3.50000,1162.56487,984.06649
"2015Q3",546.31631,204.03841,1077.70983,421.98083,480.44353,0.07000,3.25000,1164.65425,984.46607
"2015Q4",546.98018,202.99203,1085.30873,423.37945,478.31881,0.20000,3.00000,1164.85717,984.65044
"2016Q1",547.65614,204.34464,1080.09461,424.70203,476.93947,0.25000,3.00000,1164.22629,985.22837
"2016Q2",548.29686,203.37748,1085.45854,425.77492,479.39275,0.30000,3.00000,1166.25704,985.54888
"2016Q3",548.85508,201.83569,1084.29400,426.43868,479.21656,0.29000,3.00000,1166.64582,986.25562
"2016Q4",549.57418,201.54813,1098.62601,427.52475,479.97988,0.55000,3.00000,1168.00762,986.80883
"2017Q1",550.31384,199.59918,1091.15367,428.62254,480.68473,0.82000,3.00000,1168.86876,987.29407
"2017Q2",550.78498,199.38586,1096.58179,430.04726,480.47614,1.06000,3.00000,1168.82984,987.85235
"2017Q3",551.23203,198.81323,1096.48721,430.70627,481.94748,1.06000,3.00000,1169.68864,988.63821
"2017Q4",551.89940,199.34465,1110.25619,433.04635,482.97660,1.33000,2.75000,1169.85142,989.75902
"2018Q1",552.55156,200.05220,1103.98323,432.68009,483.96188,1.67000,2.75000,1171.59744,990.56901
"2018Q2",553.23197,201.29370,1102.43667,433.76746,485.29832,1.91000,2.75000,1173.18768,991.09844
"2018Q3",553.89400,203.52743,1103.83016,435.15775,484.84760,2.18000,2.75000,1173.08436,991.72031
"2018Q4",554.41195,204.51089,1117.27269,435.33292,482.86659,2.40000,2.75000,1172.76290,991.86175
"2019Q1",554.99102,203.99830,1109.91010,436.76648,484.22121,2.43000,2.75000,1175.36796,992.48380
"2019Q2",555.61285,204.18685,1112.27381,438.45582,483.42966,2.40000,2.75000,1177.09142,993.31580
"2019Q3",556.05451,204.19905,1113.89358,436.94604,482.86114,1.90000,2.75000,1176.99418,994.47878
"2019Q4",556.60938,203.97395,1128.00813,438.68175,482.83137,1.55000,2.75000,1176.97247,995.15822
"2020Q1",557.09817,203.94589,1125.27885,438.51941,480.19156,0.08000,2.75000,1176.27689,993.75604
"2020Q2",557.55752,204.08860,1129.33007,440.81676,479.16060,0.08000,2.00000,1167.46590,985.51688
"2020Q3",558.14531,204.86220,1139.81889,441.79224,481.37456,0.09000,1.75000,1175.47356,993.05578
"2020Q4",558.80641,205.42800,1154.53046,443.39271,482.75831,0.09000,1.75000,1179.45637,994.13468
"2021Q1",559.68315,204.38569,1145.90077,444.19679,487.82434,0.07000,1.75000,1180.77804,995.50548
