,a,a_prom
2007M10,0.336212617,0.340090554
2007M11,0.31979125,0.337849666
2007M12,0.40135592,0.342107433
2008M01,0.350785775,0.345427761
2008M02,0.384732841,0.348930627
2008M03,0.358646319,0.35059192
2008M04,0.37226873,0.353064881
2008M05,0.350658531,0.354026869
2008M06,0.35822155,0.353064893
2008M07,0.349061405,0.355326011
2008M08,0.40270704,0.359939236
2008M09,0.320206966,0.358720745
2008M10,0.368904317,0.361445054
2008M11,0.346612573,0.363680164
2008M12,0.358301294,0.360092278
2009M01,0.368623158,0.361578727
2009M02,0.378260706,0.361039382
2009M03,0.37646662,0.362524407
2009M04,0.369451684,0.362289653
2009M05,0.352352186,0.362430791
2009M06,0.340667721,0.360967972
2009M07,0.363517554,0.362172651
2009M08,0.334094482,0.356454938
2009M09,0.350984802,0.359019758
2009M10,0.355040842,0.357864468
2009M11,0.380849641,0.360717557
2009M12,0.409764829,0.365006185
2010M01,0.370230823,0.365140157
2010M02,0.395559801,0.366581749
2010M03,0.422059997,0.370381197
2010M04,0.35138155,0.368875352
2010M05,0.398333104,0.372707095
2010M06,0.378689894,0.37587561
2010M07,0.315944333,0.371911175
2010M08,0.324299611,0.371094935
2010M09,0.354322207,0.371373053
2010M10,0.370769014,0.372683734
2010M11,0.363067039,0.37120185
2010M12,0.406087853,0.370895435
2011M01,0.399338251,0.373321054
2011M02,0.402478171,0.373897585
2011M03,0.434106339,0.374901447
2011M04,0.372256269,0.376641007
2011M05,0.416735891,0.378174572
2011M06,0.375020522,0.377868791
2011M07,0.385929035,0.38370085
2011M08,0.393110985,0.389435131
2011M09,0.344259744,0.388596593
2011M10,0.368602328,0.388416035
2011M11,0.400834175,0.391563297
2011M12,0.408640316,0.391776002
2012M01,0.374187434,0.389680101
2012M02,0.424966486,0.391554127
2012M03,0.415220156,0.389980278
2012M04,0.407405736,0.392909401
2012M05,0.381534482,0.38997595
2012M06,0.36305979,0.388979222
2012M07,0.371939125,0.387813396
2012M08,0.39493298,0.387965229
2012M09,0.37382305,0.390428838
2012M10,0.361066437,0.389800847
2012M11,0.323633227,0.383367435
2012M12,0.375094341,0.380571937
2013M01,0.378186734,0.380905212
2013M02,0.412774949,0.379889251
2013M03,0.379079034,0.37687749
2013M04,0.335975715,0.370924989
2013M05,0.33839171,0.367329758
2013M06,0.341660546,0.365546487
2013M07,0.357165541,0.364315355
2013M08,0.345214043,0.36017211
2013M09,0.39687971,0.362093499
2013M10,0.373730106,0.363148805
2013M11,0.383722353,0.368156232
2013M12,0.414054431,0.371402906
2014M01,0.398564231,0.373101031
2014M02,0.408828964,0.372772199
2014M03,0.439338749,0.377793842
2014M04,0.392140735,0.38247426
2014M05,0.387164977,0.386538699
2014M06,0.398683099,0.391290578
2014M07,0.390877527,0.39409991
2014M08,0.419868547,0.400321119
2014M09,0.403344769,0.400859874
2014M10,0.404155483,0.403395322
2014M11,0.380414631,0.403119679
2014M12,0.402889793,0.402189292
2015M01,0.383567855,0.400939594
2015M02,0.369529055,0.397664602
2015M03,0.402437393,0.394589489
2015M04,0.390094596,0.394418977
2015M05,0.369126165,0.392915743
2015M06,0.372241018,0.390712236
2015M07,0.367413259,0.38875688
2015M08,0.340657232,0.382155937
2015M09,0.333832911,0.376363283
2015M10,0.363324435,0.372960695
2015M11,0.378033973,0.372762307
2015M12,0.362007995,0.369355491
2016M01,0.36428457,0.36774855
2016M02,0.393257361,0.369725909
2016M03,0.402233356,0.369708906
2016M04,0.395237388,0.370137472
2016M05,0.383756872,0.371356698
2016M06,0.402848927,0.373907357
2016M07,0.349967623,0.372453554
2016M08,0.351311656,0.373341422
2016M09,0.393151331,0.378284624
2016M10,0.380132363,0.379685285
2016M11,0.3649111,0.378591712
2016M12,0.380099322,0.380099322
2017M01,0.392352837,0.382438345
2017M02,0.417976846,0.384498302
2017M03,0.429489531,0.38676965
2017M04,0.424027217,0.389168802
2017M05,0.361977427,0.387353848
2017M06,0.39931999,0.38705977
2017M07,0.391653114,0.390533561
2017M08,0.384378001,0.39328909
2017M09,0.363599822,0.390826464
2017M10,0.389800847,0.391632171
2017M11,0.393156574,0.393985961
2017M12,0.427373508,0.397925476
2018M01,0.373147889,0.396325064
2018M02,0.404186237,0.395175846
2018M03,0.418173629,0.394232855
2018M04,0.371152339,0.389826615
2018M05,0.378081082,0.391168586
2018M06,0.383611929,0.389859581
2018M07,0.336566893,0.385269062
2018M08,0.372917512,0.384314022
2018M09,0.376168979,0.385361451
2018M10,0.393788651,0.385693768
2018M11,0.364334351,0.383291916
2018M12,0.37392356,0.378837754
2019M01,0.350079882,0.37691542
2019M02,0.381538173,0.375028082
2019M03,0.40073748,0.373575069
2019M04,0.409936161,0.376807054
2019M05,0.370680818,0.376190366
2019M06,0.372193743,0.37523885
2019M07,0.357395743,0.376974588
2019M08,0.340460683,0.374269852
2019M09,0.350969875,0.372169927
2019M10,0.365109085,0.369779963
2019M11,0.369131291,0.370179708
2019M12,0.380454606,0.370723962
2020M01,0.347187197,0.370482905
2020M02,0.38614321,0.370866658
2020M03,0.384450655,0.369509422
2020M04,0.309092581,0.36110579
2020M05,0.292189298,0.354564831
2020M06,0.328272162,0.350904699
2020M07,0.337580636,0.34925344
2020M08,0.331816674,0.348533106
2020M09,0.32484173,0.34635576
2020M10,0.346012366,0.344764367
2020M11,0.357308706,0.343779152
2020M12,0.371071891,0.342997259
2021M01,0.353351489,0.34351095
2021M02,0.355800563,0.340982396
2021M03,0.382591026,0.340827427
2021M04,0.344217741,0.343754524
2021M05,0.332853038,0.347143169
2021M06,0.352522309,0.349164014
