"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i","i_star","ln_y_star","ln_y"
"Comments ->","","","","","","","Federal Funds Effective Rate","Real Gross Domestic Product",""
"Class[Size] ->","tseries[308-by-1]","tseries[308-by-1]","tseries[308-by-1]","tseries[308-by-1]","tseries[308-by-1]","tseries[308-by-1]","Series[308-by-1]","Series[308-by-1]","tseries[308-by-1]"
"1947Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.68830922e+02,NaN
"1947Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.68565345e+02,NaN
"1947Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.68360256e+02,NaN
"1947Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.69914107e+02,NaN
"1948Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.71408917e+02,NaN
"1948Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.73047791e+02,NaN
"1948Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.73620665e+02,NaN
"1948Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.73733888e+02,NaN
"1949Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.72347711e+02,NaN
"1949Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.72007475e+02,NaN
"1949Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.73036107e+02,NaN
"1949Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.72194772e+02,NaN
"1950Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.76051136e+02,NaN
"1950Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.79056451e+02,NaN
"1950Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.82848694e+02,NaN
"1950Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.84745546e+02,NaN
"1951Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.86094364e+02,NaN
"1951Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.87811668e+02,NaN
"1951Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.89850726e+02,NaN
"1951Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.90069441e+02,NaN
"1952Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.91130716e+02,NaN
"1952Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.91344786e+02,NaN
"1952Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.92063428e+02,NaN
"1952Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.95294605e+02,NaN
"1953Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97136576e+02,NaN
"1953Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97906694e+02,NaN
"1953Q3",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.97342590e+02,NaN
"1953Q4",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.95817298e+02,NaN
"1954Q1",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.95338583e+02,NaN
"1954Q2",NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.95447936e+02,NaN
"1954Q3",NaN,NaN,NaN,NaN,NaN,NaN,1.03000000e+00,7.96571292e+02,NaN
"1954Q4",NaN,NaN,NaN,NaN,NaN,NaN,9.86666667e-01,7.98509354e+02,NaN
"1955Q1",NaN,NaN,NaN,NaN,NaN,NaN,1.34333333e+00,8.01325910e+02,NaN
"1955Q2",NaN,NaN,NaN,NaN,NaN,NaN,1.50000000e+00,8.02940352e+02,NaN
"1955Q3",NaN,NaN,NaN,NaN,NaN,NaN,1.94000000e+00,8.04282132e+02,NaN
"1955Q4",NaN,NaN,NaN,NaN,NaN,NaN,2.35666667e+00,8.04881001e+02,NaN
"1956Q1",NaN,NaN,NaN,NaN,NaN,NaN,2.48333333e+00,8.04492203e+02,NaN
"1956Q2",NaN,NaN,NaN,NaN,NaN,NaN,2.69333333e+00,8.05315382e+02,NaN
"1956Q3",NaN,NaN,NaN,NaN,NaN,NaN,2.81000000e+00,8.05225638e+02,NaN
"1956Q4",NaN,NaN,NaN,NaN,NaN,NaN,2.92666667e+00,8.06858151e+02,NaN
"1957Q1",NaN,NaN,NaN,NaN,NaN,NaN,2.93333333e+00,8.07496378e+02,NaN
