"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","s_d4_ln_y_star","s_d4_ln_ipei","s_i_star","s_d4_ln_cpi_nosub","s_d4_ln_y","s_d4_ln_cpi_sub","s_d4_ln_s","s_d4_ln_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]","tseries[110-by-1]"
".endhist","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4","2023Q4"
"2004Q1",964.11262,3849.35262,459.12498,-0.14910,1122.96851,4467.88428,488.13521,205.16819,962.21491,420.97436,-0.16078,1.59822,664.29316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q2",964.27166,3852.13357,460.91260,-0.00000,1120.06573,4472.75094,489.25121,203.78040,964.77527,422.07134,0.00000,0.00000,664.69299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q3",964.58765,3855.00831,462.47829,0.00000,1117.90188,4477.72813,490.07000,204.21223,966.39759,423.27746,-0.00000,0.00000,666.69052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2004Q4",964.97222,3857.94415,463.43086,0.14910,1121.84731,4482.78343,491.38169,205.00900,973.88935,425.17761,0.16078,-1.59822,668.43986,2.93584,NaN,6.71320,2.40188,-0.11607,5.05530,NaN,4.90472,-0.79801,16.74620,2.48208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2005Q1",967.05920,3860.89074,466.28397,-0.12610,1128.05393,4487.86885,493.45676,204.11910,979.09954,426.31891,0.62757,-4.87944,670.40307,2.94658,2.88453,7.15899,2.47000,0.02300,5.08542,4.99614,5.32155,-1.04909,16.88463,2.63667,5.34455,0.78835,-6.47767,-3.37193,6.10991,11.41243,1.86716,-3.55960,-1.10078,8.30029,4.56518,20.84077,-13.12489,7.85284,0.62663,1.03571,0.04884,-0.25908,0.05520,0.08125,-0.23355,0.35950,-0.02340
"2005Q2",967.55062,3864.16970,468.12732,0.21793,1125.35004,4493.15316,495.01800,202.85860,981.87129,428.05605,0.52614,-6.04492,670.98592,3.27896,3.00903,7.21472,2.94333,0.21793,5.28431,5.10055,5.76679,-0.92180,17.09602,2.85985,5.98471,0.52614,-6.04492,-3.43773,6.29293,7.37340,-0.40572,-5.04200,1.37610,6.24496,6.94856,11.08700,-4.66191,2.33140,0.95424,0.46713,0.42764,-0.20997,0.05416,0.09277,-0.18510,0.68355,-0.05076
"2005Q3",968.33138,3867.91342,470.26472,0.56327,1123.54617,4498.79745,496.34791,202.81465,982.92692,430.11864,0.11094,-4.60713,673.07937,3.74373,3.22628,7.78643,3.46000,0.56327,5.64429,5.26733,6.27791,-1.39758,16.52933,3.33671,6.84118,0.11094,-4.60713,-3.32962,6.38885,8.54960,-1.66082,-0.17580,1.38136,5.31964,8.25036,4.22252,5.75116,8.37380,1.27152,0.72000,0.45794,-0.08312,0.09670,0.16354,-0.62061,0.36625,0.04887
