"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","dla_y_star","dla_y","s_d4_ln_y_star","s_d4_ln_ipei","s_i_star","s_d4_ln_cpi_nosub","s_d4_ln_y","s_d4_ln_cpi_sub","s_d4_ln_s","s_d4_ln_bm","s_i"
"2018Q2",991.09844,3960.06468,485.05511,-1.55031,1172.01488,4684.13150,553.79689,200.72267,1101.21142,434.40560,-57.76602,-12.96502,685.77778,3.24609,2.96345,4.18809,1.76667,1.58207,4.17911,2.97765,2.27490,1.38574,5.89787,2.75000,3.85697,3.29893,0.55615,-0.50373,5.57383,3.99507,20.30619,4.17864,-5.85547,2.50828,2.54671,-6.16848,11.92495,8.17371,2.11770,-2.86030,0.78863,0.73192,0.26321,-0.36218,0.30934,-0.22654,2.12337,-4.99813,0.05637
"2018Q3",991.72031,3963.14678,485.01591,0.14208,1171.20437,4687.57153,554.51846,202.10441,1101.65724,435.79110,-56.53876,-13.65548,687.12033,3.08210,3.13833,3.79748,2.00000,0.89174,3.44003,3.07278,2.55259,3.39300,5.96998,2.75000,3.44433,4.63788,0.02263,-0.65427,7.19047,-0.15679,4.90904,5.52698,6.76957,2.88628,5.54198,1.78328,-2.76180,5.37019,2.48747,-3.24204,0.63719,-0.15752,0.19163,-0.41417,-0.63404,0.03161,2.15371,-1.50644,0.18114
"2018Q4",991.86175,3965.24951,483.91032,0.41079,1174.78149,4690.73069,555.03451,204.35960,1107.98326,436.51887,-57.89883,-15.23294,688.26992,2.10273,2.92646,1.14238,2.26667,0.72053,3.15917,3.35447,2.49029,5.03898,7.24728,2.75000,3.21083,3.69106,-1.59782,-0.35572,6.18135,-4.42235,-5.44030,9.02074,1.07484,2.06420,2.91107,25.30406,-6.30988,4.59838,0.56578,14.30847,-0.27088,-1.87142,0.28107,0.14292,0.22117,-0.35915,2.14890,-1.08226,0.23447
"2019Q1",992.40350,3967.08400,483.41902,1.78227,1176.40784,4694.40858,555.45816,204.37010,1109.13839,437.92598,-61.07614,-16.36488,687.78912,1.83449,2.56635,-0.63732,2.41000,1.86872,3.67789,3.61405,2.28834,4.69209,6.38485,2.75000,4.15706,1.76642,-0.41862,0.02562,4.05476,-1.96522,-12.70923,0.04199,5.48593,1.69460,5.62847,4.62052,-4.52776,-1.92322,2.16699,6.50541,-0.11333,-1.96301,0.14837,1.42482,0.85170,-0.51177,1.45027,-2.71155,0.03490
"2019Q2",993.22936,3969.21492,484.00680,0.74360,1175.72703,4698.12073,556.09262,203.76124,1111.50361,438.99525,-58.07149,-17.24933,687.76803,2.13093,2.28756,-1.04831,2.41667,2.29391,3.71215,3.49731,2.29573,3.03857,10.29219,2.75000,4.58964,-0.30548,-4.28431,-0.02730,1.99025,2.35111,12.01858,-2.43544,-4.15469,2.53784,4.27705,9.46090,-3.53779,-0.08433,3.30346,-2.72323,0.29973,-1.47123,-0.01339,0.87956,0.25144,-0.10720,-0.09385,2.68611,-0.04702
"2019Q3",994.35541,3971.85002,482.99398,1.08220,1175.16869,4702.08505,556.58954,203.91670,1114.51378,438.80230,-58.81949,-20.47662,686.91067,2.63510,2.17581,-2.02194,2.14333,0.94012,3.96432,3.62838,2.07108,1.81228,12.85654,2.75000,3.01120,-2.28074,-6.82114,0.11635,-0.20965,-4.05128,-2.99199,0.62184,1.35438,1.98768,-0.77180,12.04067,-12.90914,-3.42944,4.50417,-2.23338,0.67502,-2.44462,-0.32410,-0.82253,-0.51612,-0.09443,-1.00698,2.22941,0.05092
"2019Q4",994.99464,3974.98291,482.64279,1.17907,1179.17202,4706.47558,557.05763,204.36297,1120.95858,439.31026,-61.18611,-21.79462,687.00576,3.13289,2.43335,-1.26753,1.56333,0.76828,4.39053,3.93622,2.02312,0.00337,12.97533,2.75000,2.79140,-3.28728,-6.56167,0.05292,-1.26416,-1.40472,-9.46649,1.78508,0.38748,1.87236,2.03187,25.77921,-5.27200,0.38035,2.55695,16.01333,0.95362,-1.23548,-0.64611,0.02086,-0.46244,0.01858,-0.85390,0.20064,0.05881
"2020Q1",993.62258,3976.20199,481.74639,1.26035,1177.16475,4707.23249,557.56341,203.82095,1121.21947,439.50930,-65.40316,-25.58381,685.56734,1.21908,2.27950,-1.67263,1.08333,-0.52193,0.75691,3.20598,2.10525,-0.54915,12.08108,2.75000,1.58332,-4.32702,-9.21893,0.03557,-2.22178,-3.58560,-16.86819,-2.16808,0.32511,2.02310,0.79615,1.04353,-15.15677,-5.75368,-5.48827,-8.02909,-1.17662,-0.56862,-0.39976,-1.18328,-2.59743,0.24257,-1.41163,-1.13509,0.19990
"2020Q2",985.40242,3968.37504,478.11080,0.84429,1166.27934,4697.78480,557.99517,204.13679,1127.68625,440.99848,-65.49448,-40.97711,682.24759,-7.82695,-0.20997,-5.89600,0.06000,0.10069,-9.44769,-0.08398,1.90255,0.37555,16.18263,2.00000,2.00323,-7.42299,-23.72778,-0.24426,-5.52044,-14.54237,-0.36528,1.26338,-1.66422,1.72705,5.95672,25.86712,-61.57319,-13.27900,-32.88064,-43.54161,-9.39058,1.59468,-0.36777,0.51657,-4.02597,-0.30517,-0.43072,1.75696,-0.12074
"2020Q3",992.87556,3966.89520,481.08663,3.08750,1173.76955,4696.38567,558.51294,204.37373,1133.69382,442.73099,-62.19321,-39.13239,685.46036,-1.47985,-1.23871,-1.90735,0.09333,2.00530,-1.39913,-1.42485,1.92340,0.45703,19.18004,1.75000,3.92870,-3.37372,-18.65577,-0.99716,-1.45032,11.90330,13.20509,0.94776,8.97282,2.07109,6.93005,24.03029,7.37887,12.85106,29.89258,29.96084,0.88940,0.80662,-0.03374,1.60829,-1.01033,0.00798,1.65528,3.48843,-0.09267
"2020Q4",993.90526,3965.80581,481.86541,4.20760,1181.46362,4698.67727,559.10794,205.29025,1141.85320,444.38910,-63.08653,-38.34733,687.15565,-1.08939,-2.29428,-0.77739,0.09000,3.02853,2.29160,-1.94958,2.05031,0.92728,20.89461,1.75000,5.07884,-1.90041,-16.55271,-1.22253,0.14989,3.11512,-3.57327,3.66607,4.48043,2.37998,6.63244,32.63750,3.14026,6.78119,4.11878,30.77627,-1.47963,0.98710,0.09461,0.94209,1.52862,-0.26579,1.06082,2.27364,0.03009
"2021Q1",995.18252,3967.36576,485.50405,4.44891,1181.54374,4703.05626,559.91072,204.79336,1142.41247,445.04518,-63.02041,-40.05051,690.29741,1.55995,-2.20906,3.75766,0.08000,3.18856,4.37899,-1.04406,2.34731,0.97241,21.19301,1.75000,5.53588,2.38275,-14.46670,-1.92220,4.73007,14.55458,0.26448,-1.98755,0.96523,3.21114,2.62431,2.23711,-6.81274,12.56702,5.10907,0.32047,0.99995,2.90901,-0.07414,0.00786,-0.12498,0.04930,0.79711,2.68475,-0.09061
"2021Q2",996.69083,3978.65417,489.15075,2.85813,1180.60083,4717.37775,560.63130,204.42457,1143.58589,445.64845,-56.80289,-39.91913,693.57532,11.28841,2.56978,11.03995,0.07000,2.01384,14.32149,4.89824,2.63614,0.28778,15.89964,1.75000,4.64997,8.69159,1.05798,-2.80992,11.32773,14.58679,24.87006,-1.47515,-6.36314,2.88233,2.41309,4.69368,0.52553,13.11164,6.03321,-3.77162,9.57658,0.72667,-0.67829,-1.18762,1.26240,0.14312,1.40577,-1.49491,-0.26685
"2021Q3",997.50219,3983.28079,490.68506,3.87276,1181.63203,4725.24022,561.36131,204.62006,1145.41659,446.36462,-55.19681,-40.14432,695.30512,4.62662,4.09640,9.59843,0.09000,0.78527,7.86247,7.21364,2.84836,0.24633,11.72277,1.75000,3.63363,6.99640,-1.01193,-2.70093,9.84477,6.13725,6.42433,0.78197,4.05854,2.92001,2.86468,7.32279,-0.90077,6.91921,3.24544,4.12478,-1.31479,2.43684,0.11351,-1.34235,1.05745,-0.56165,-0.80954,-4.86508,-0.02160
"2021Q4",996.95037,3986.32591,489.02506,4.97801,1186.63214,4730.40874,562.58602,205.26008,1154.97528,448.63759,-59.43512,-42.82281,694.28514,3.04511,5.13002,7.15966,0.09930,0.77040,5.16852,7.93287,3.47808,-0.03017,13.12208,1.72075,4.24848,3.65141,-4.47548,-2.89071,7.12949,-6.63998,-16.95323,2.56007,4.42098,4.89884,9.09185,38.23474,-10.71394,-4.07991,-2.20726,20.00044,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2022Q1",997.54005,3988.68344,491.00548,5.24669,1185.82297,4734.68798,563.82847,204.55647,1156.61623,449.76070,-61.67361,-46.05729,695.56195,2.35753,5.32942,5.50143,0.10853,0.79778,4.27923,7.90793,3.91775,-0.23688,14.20376,1.75410,4.71552,1.34679,-6.00678,-2.97372,5.26454,7.92165,-8.95399,-2.81442,1.07473,4.96981,4.49247,6.56382,-12.93793,5.10723,2.35874,-3.23666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2022Q2",998.74942,3990.74203,493.52467,3.70994,1184.62295,4738.71009,564.85987,204.03998,1158.55994,450.72884,-57.04213,-46.64249,697.56465,2.05859,3.02197,4.37392,0.11769,0.85181,4.02212,5.33309,4.22857,-0.38459,14.97405,1.83194,5.08038,-0.23924,-6.72336,-2.97979,3.98933,10.07677,18.52592,-2.06599,-6.14699,4.12562,3.87253,7.77484,-2.34081,8.01078,4.83747,-4.80008,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2022Q3",999.43081,3992.67066,494.29234,4.79228,1185.60671,4742.68477,565.81223,204.13585,1160.87693,451.73507,-56.52467,-47.17905,698.42819,1.92863,2.34747,3.60728,0.12679,0.91952,3.97468,4.36114,4.45093,-0.48421,15.46034,1.94120,5.37045,-1.32786,-7.03473,-2.92995,3.12307,3.07068,2.06986,0.38349,4.32936,3.80944,4.02493,9.26793,-2.14623,3.45417,2.72557,3.93503,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2022Q4",998.82249,3994.54278,492.11107,5.96868,1190.61830,4746.67094,567.19748,204.71428,1170.67565,454.23973,-61.50637,-49.92555,696.82535,1.87212,2.05422,3.08601,0.13581,0.99068,3.98616,4.06555,4.61147,-0.54580,15.70038,2.07209,5.60214,-2.07125,-7.10275,-2.83950,2.54021,-8.72508,-19.92681,2.31374,4.70561,5.54099,10.01863,39.19490,-10.98602,-6.41134,-2.43328,20.04638,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2023Q1",999.38761,3996.39034,493.73705,6.30441,1189.82739,4750.67536,568.55628,203.97838,1172.35186,455.54624,-64.24795,-53.06068,697.71543,1.84756,1.92673,2.73157,0.14477,1.05773,4.00442,3.99685,4.72781,-0.57809,15.73562,2.21701,5.78554,-2.57434,-7.00339,-2.71994,2.15348,6.50390,-10.96631,-2.94361,1.34293,5.43520,5.22606,6.70481,-12.54050,3.56029,2.26047,-3.16364,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2023Q2",1000.58630,3998.22722,496.01524,4.82540,1188.63603,4754.68843,569.67160,203.45153,1174.16713,456.65602,-59.95173,-53.42487,699.46677,1.83688,1.87130,2.49057,0.15367,1.11546,4.01307,3.99458,4.81173,-0.58844,15.60718,2.36990,5.92719,-2.90960,-6.78238,-2.58026,1.90213,9.11278,17.18487,-2.10739,-5.91607,4.46128,4.43911,7.26109,-1.45678,7.00539,4.79474,-4.76546,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2023Q3",1001.26305,4000.05945,496.61905,5.95291,1189.61535,4758.69708,570.68339,203.55301,1176.23043,457.76685,-59.65195,-53.65275,700.17206,1.83223,1.84720,2.32671,0.16249,1.16063,4.00864,4.00308,4.87115,-0.58284,15.35350,2.52585,6.03178,-3.12728,-6.47370,-2.42763,1.74387,2.41522,1.19911,0.40591,4.51005,4.04715,4.44333,8.25319,-0.91150,2.82114,2.70700,3.91731,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2023Q4",1000.65271,4001.88966,494.32636,7.16028,1194.61043,4762.68921,572.10907,204.14822,1185.68475,460.34292,-64.76873,-56.03093,698.47458,1.83021,1.83672,2.21529,0.17126,1.19160,3.99213,4.00457,4.91159,-0.56606,15.00910,2.68086,6.10319,-3.26236,-6.10538,-2.26789,1.64923,-9.17075,-20.46711,2.38085,4.82950,5.70273,10.30426,37.81730,-9.51273,-6.78990,-2.44136,19.98032,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2024Q1",1001.21695,4003.71900,495.87658,7.51239,1193.79332,4766.65513,573.49323,203.43652,1186.95593,461.69117,-67.58724,-58.76187,699.31309,1.82934,1.83216,2.13953,0.17995,1.20797,3.96593,3.99494,4.93695,-0.54186,14.60408,2.83167,6.14493,-3.33929,-5.70120,-2.10586,1.59767,6.20087,-11.27402,-2.84683,1.40841,5.53665,5.39300,5.08472,-10.92378,3.35404,2.25696,-3.26846,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2024Q2",1002.41525,4005.54795,498.10326,6.03566,1192.56869,4770.58780,574.62176,202.93839,1188.33110,462.81644,-63.32702,-58.70602,701.04165,1.82895,1.83018,2.08802,0.18858,1.21026,3.93266,3.97484,4.95016,-0.51314,14.16397,2.97568,6.16042,-3.37529,-5.28115,-1.94548,1.57487,8.90673,17.04087,-1.99252,-5.90692,4.51411,4.50109,5.50066,0.22342,6.91422,4.79322,-4.89852,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2024Q3",1003.09184,4007.37674,498.67204,7.15254,1193.51014,4774.48259,575.63687,203.07091,1189.94034,463.91996,-63.03454,-58.51440,701.74295,1.82879,1.82932,2.05299,0.19715,1.19963,3.89479,3.94638,4.95348,-0.48210,13.70992,3.11086,6.15311,-3.38259,-4.86165,-1.78998,1.57089,2.27512,1.16992,0.53009,4.46753,4.06042,4.41408,6.43698,0.76649,2.80521,2.70633,3.76581,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2024Q4",1002.48142,4009.20546,496.35554,8.33796,1198.46487,4778.33702,577.05782,203.69786,1198.94371,466.46935,-68.13867,-60.48671,700.05340,1.82872,1.82895,2.02918,0.20566,1.17768,3.85443,3.91195,4.94875,-0.45037,13.25896,3.23571,6.12642,-3.36994,-4.45578,-1.64190,1.57881,-9.26601,-20.41652,2.50779,4.74168,5.68381,10.19753,36.01347,-7.88924,-6.75822,-2.44165,19.81890,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2025Q1",1003.04563,4011.03414,497.88956,8.65862,1197.60668,4782.15038,578.43076,203.01739,1199.78035,467.77493,-70.93091,-62.83540,700.90695,1.82869,1.82879,2.01299,0.21410,1.14623,3.81337,3.87381,4.93753,-0.41913,12.82442,3.34920,6.08376,-3.34368,-4.07352,-1.50321,1.59385,6.13610,-11.16897,-2.72189,1.28263,5.49177,5.22233,3.34655,-9.39477,3.41421,2.25684,-3.43274,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2025Q2",1004.24392,4012.86282,500.10524,7.14288,1196.34169,4785.92339,579.54292,202.54915,1200.74741,468.84482,-66.63545,-62.42816,702.65438,1.82867,1.82872,2.00198,0.22248,1.10722,3.77300,3.83390,4.92116,-0.38924,12.41631,3.45071,6.02838,-3.30843,-3.72215,-1.37534,1.61273,8.86269,17.18186,-1.87295,-6.06296,4.44864,4.27958,3.86824,1.62894,6.98974,4.79316,-5.05996,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2025Q3",1004.92050,4014.69148,500.66653,8.21511,1197.24460,4789.65784,580.53771,202.70965,1201.98213,469.88337,-66.30215,-61.92089,703.37618,1.82867,1.82868,1.99449,0.23079,1.06257,3.73445,3.79381,4.90084,-0.36126,12.04179,3.53999,5.96341,-3.26761,-3.40650,-1.25928,1.63323,2.24518,1.33319,0.64201,4.28892,3.97913,4.15418,4.93888,2.02909,2.88719,2.70631,3.61161,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2025Q4",1004.31009,4016.52014,498.34494,9.35206,1202.16340,4793.35637,581.93543,203.36230,1210.64923,472.36106,-71.36243,-63.61609,701.70724,1.82866,1.82867,1.98940,0.23905,1.01410,3.69853,3.75484,4.87761,-0.33555,11.70552,3.61709,5.89171,-3.22377,-3.12938,-1.15555,1.65384,-9.28637,-20.24113,2.61062,4.54782,5.59090,9.91075,34.66842,-6.78079,-6.67576,-2.44166,19.67521,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2026Q1",1004.87430,4018.34881,499.87550,9.62212,1201.27249,4797.02218,583.28317,202.70507,1211.19047,473.59084,-74.10970,-65.72731,702.58057,1.82866,1.82867,1.98594,0.24724,0.96350,3.66580,3.71795,4.85241,-0.31232,11.41012,3.68234,5.81591,-3.17879,-2.89191,-1.06435,1.67362,6.12225,-10.98907,-2.62895,1.08022,5.39097,4.91912,2.16495,-8.44488,3.49330,2.25683,-3.56365,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2026Q2",1006.07259,4020.17747,502.08882,8.05514,1199.97833,4800.65881,584.36898,202.25751,1211.90389,474.58314,-69.76955,-65.12196,704.34633,1.82866,1.82866,1.98358,0.25537,0.91226,3.63663,3.68386,4.82606,-0.29164,11.15648,3.73629,5.73832,-3.13411,-2.69379,-0.98554,1.69195,8.85328,17.36059,-1.79022,-6.26792,4.34323,3.96921,2.85368,2.42140,7.06306,4.79316,-5.17664,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2026Q3",1006.74916,4022.00613,502.64851,9.07678,1200.85580,4804.27001,585.33697,202.43616,1212.92624,475.54431,-69.39292,-64.45454,705.08467,1.82866,1.82866,1.98198,0.26344,0.86167,3.61120,3.65304,4.79926,-0.27349,10.94411,3.77964,5.66094,-3.09077,-2.53365,-0.91875,1.70849,2.23878,1.50654,0.71459,4.08657,3.87196,3.84466,4.08940,2.66966,2.95337,2.70631,3.50988,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2026Q4",1006.13875,4023.83479,500.32583,10.16488,1205.75294,4807.85955,586.70807,203.10450,1221.42067,477.94651,-74.41198,-66.02535,703.43033,1.82866,1.82866,1.98090,0.27146,0.81281,3.58954,3.62579,4.77264,-0.25780,10.77144,3.81322,5.58545,-3.04955,-2.40926,-0.86338,1.72309,-9.29073,-20.07624,2.67336,4.35238,5.48440,9.60882,33.97772,-6.28323,-6.61736,-2.44166,19.58857,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2027Q1",1006.70296,4025.66345,501.85566,10.38867,1204.84406,4811.43112,588.02986,202.46061,1221.82654,479.10408,-77.12069,-68.04511,704.31627,1.82866,1.82866,1.98016,0.27941,0.76655,3.57158,3.60224,4.74669,-0.24445,10.63607,3.83795,5.51324,-3.01099,-2.31780,-0.81869,1.73571,6.11929,-10.83483,-2.57554,0.89517,5.28717,4.63027,1.62347,-8.07904,3.54375,2.25683,-3.63550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2027Q2",1007.90125,4027.49211,504.06847,8.77868,1203.53547,4814.98826,589.09081,202.02424,1222.43891,480.02852,-72.74501,-67.37800,706.09271,1.82866,1.82866,1.97965,0.28730,0.72355,3.55714,3.58236,4.72183,-0.23327,10.53501,3.85481,5.44538,-2.97545,-2.25604,-0.78379,1.74638,8.85127,17.50272,-1.74551,-6.43993,4.24380,3.69777,2.44946,2.66844,7.10576,4.79316,-5.23440,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2027Q3",1008.57782,4029.32077,504.62783,9.76106,1204.40179,4818.53425,590.03536,202.21207,1223.39114,480.92698,-72.33609,-66.67506,706.83989,1.82866,1.82866,1.97931,0.29514,0.68428,3.54599,3.56606,4.69839,-0.22409,10.46490,3.86479,5.38267,-2.94317,-2.22052,-0.75775,1.75522,2.23741,1.63567,0.75132,3.92951,3.77818,3.59382,3.80893,2.81176,2.98873,2.70631,3.46528,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2027Q4",1007.96741,4031.14944,502.30491,10.81394,1209.29079,4822.07210,591.38467,202.88778,1231.84279,483.27218,-77.32622,-68.23302,705.19270,1.82866,1.82866,1.97908,0.30291,0.64906,3.53785,3.55314,4.67660,-0.21672,10.42211,3.86887,5.32567,-2.91424,-2.20767,-0.73958,1.76236,-9.29166,-19.96052,2.70287,4.21150,5.39726,9.38079,33.80659,-6.23182,-6.58878,-2.44166,19.55600,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2028Q1",1008.53162,4032.97810,503.83458,11.00671,1208.37646,4825.60449,592.68650,202.24967,1232.22953,484.37877,-80.00936,-70.25906,706.08424,1.82866,1.82866,1.97892,0.31063,0.61805,3.53239,3.54334,4.65664,-0.21095,10.40298,3.86800,5.27469,-2.88867,-2.21395,-0.72826,1.76797,6.11866,-10.73254,-2.55247,0.77110,5.20733,4.42637,1.54695,-8.10417,3.56619,2.25683,-3.65731,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2028Q2",1009.72991,4034.80676,506.04729,9.36995,1207.06477,4829.13380,593.72942,201.81765,1232.84276,485.25839,-75.61139,-69.61394,707.86493,1.82866,1.82866,1.97881,0.31829,0.59126,3.52930,3.53638,4.63861,-0.20659,10.40385,3.86309,5.22987,-2.86639,-2.23594,-0.72282,1.77222,8.85084,17.59185,-1.72809,-6.54707,4.17166,3.51849,2.45293,2.58047,7.12275,4.79316,-5.24676,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2028Q3",1010.40649,4036.63542,506.60657,10.32969,1207.93003,4832.66204,594.65790,202.00861,1233.81233,486.11815,-75.18335,-68.94547,708.61517,1.82866,1.82866,1.97874,0.32590,0.56863,3.52824,3.53195,4.62254,-0.20346,10.42119,3.85500,5.19117,-2.84726,-2.27041,-0.72229,1.77528,2.23712,1.71216,0.76384,3.83897,3.71393,3.43903,3.87829,2.67390,3.00096,2.70631,3.46103,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2028Q4",1009.79607,4038.46408,504.28360,11.36391,1212.81966,4836.19091,595.99312,202.68641,1242.29446,488.43059,-80.15735,-70.54736,706.97001,1.82866,1.82866,1.97869,0.33345,0.54997,3.52888,3.52970,4.60844,-0.20137,10.45167,3.84450,5.15842,-2.83113,-2.31435,-0.72576,1.77732,-9.29185,-19.89597,2.71122,4.13689,5.34086,9.24978,33.92850,-6.40759,-6.58064,-2.44166,19.55854,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"2029Q1",1010.36028,4040.29274,505.81323,11.54178,1211.90735,4839.72181,597.28276,202.04951,1242.72172,489.51009,-82.82712,-72.62410,707.86274,1.82866,1.82866,1.97866,0.34094,0.53506,3.53090,3.52933,4.59626,-0.20016,10.49220,3.83229,5.13132,-2.81777,-2.36504,-0.73240,1.77849,6.11853,-10.67909,-2.54762,0.71146,5.15859,4.31799,1.70906,-8.30694,3.57091,2.25683,-3.64922,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
