"Variables ->","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_ipei","i_star","i","ln_y","ln_y_star","m_ln_y_star","m_ln_ipei","m_i_star","m_ln_y","m_ln_cpi_sub","m_ln_s","m_ln_bm","m_i","m_ln_cpi"
"Comments ->","Inflación subyacente","Tipo de cambio Q/$","Base Monetaria","Inflación total","","Tasa de interés de fondos federales","Tasa de interés","Producto Doméstico","Producto Externo","Producto Externo","","Tasa de interés de fondos federales","Producto Doméstico","Inflación subyacente","Tipo de cambio Q/$","Base Monetaria","Tasa de interés","Inflación total"
"Class[Size] ->","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]","tseries[77-by-1]"
".endhist","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1","2024Q1"
"2005Q1",492.87762,204.11910,979.09954,370.73518,466.28397,2.66000,2.63667,1128.05393,967.05920,967.05920,466.28397,2.66000,1128.05393,492.87762,204.11910,979.09954,2.63667,370.73518
"2005Q2",494.37418,202.85860,981.87129,372.47232,468.12732,3.13667,2.85985,1125.35004,967.55062,967.55062,468.12732,3.13667,1125.35004,494.37418,202.85860,981.87129,2.85985,372.47232
"2005Q3",495.73727,202.81465,982.92692,374.53492,470.26472,3.62333,3.33671,1123.54617,968.33138,968.33138,470.26472,3.62333,1123.54617,495.73727,202.81465,982.92692,3.33671,374.53492
"2005Q4",497.51997,203.25153,989.74180,376.97313,471.00826,4.04667,3.90152,1127.54751,968.88536,968.88536,471.00826,4.04667,1127.54751,497.51997,203.25153,989.74180,3.90152,376.97313
"2006Q1",499.81227,203.03386,995.52633,378.00619,471.33099,4.66333,4.25000,1132.85217,970.22177,970.22177,471.33099,4.66333,1132.85217,499.81227,203.03386,995.52633,4.25000,378.00619
"2006Q2",501.15338,202.72693,999.06761,379.75083,473.90189,4.98667,4.45152,1128.22461,970.48019,970.48019,473.90189,4.98667,1128.22461,501.15338,202.72693,999.06761,4.45152,379.75083
"2006Q3",502.24951,202.68299,1000.46113,380.90265,475.06384,5.32000,4.92857,1129.95008,970.63003,970.63003,475.06384,5.32000,1129.95008,502.24951,202.68299,1000.46113,4.92857,380.90265
