Fecha,Índice,Variaciones intermensuales MSE 2023,Combinación lineal óptima MSE 2023
01/12/2009,188.94713,0.20730495,3.4815306663513184
01/01/2010,190.223,0.675261,3.523509979248047
01/02/2010,190.90393,0.35796165,3.532900333404541
01/03/2010,191.7623,0.4496336,3.7930471897125244
01/04/2010,192.37979,0.32200813,3.926661491394043
01/05/2010,192.99484,0.3197074,3.997990131378174
01/06/2010,193.59508,0.31100512,4.072162628173828
01/07/2010,194.20598,0.3155589,4.091439723968506
01/08/2010,194.69432,0.25146008,4.099318981170654
01/09/2010,195.26405,0.29263496,4.0489091873168945
01/10/2010,195.81108,0.28014183,4.123434066772461
01/11/2010,196.3424,0.27134418,4.129367351531982
01/12/2010,197.1595,0.41615963,4.3463850021362305
01/01/2011,198.30727,0.58214664,4.249886512756348
01/02/2011,199.5334,0.6183028,4.520317554473877
01/03/2011,200.57494,0.5219817,4.595595836639404
01/04/2011,201.70807,0.56494474,4.848886013031006
01/05/2011,202.64377,0.46389103,4.999572277069092
01/06/2011,203.46503,0.40527582,5.098243236541748
01/07/2011,204.4525,0.48532486,5.276104927062988
01/08/2011,205.43246,0.4793167,5.515389442443848
01/09/2011,206.17142,0.3597021,5.585961818695068
01/10/2011,206.93425,0.3700018,5.680561065673828
01/11/2011,207.60596,0.32459497,5.736684799194336
01/12/2011,208.23322,0.30213594,5.616632461547852
01/01/2012,209.03073,0.3829956,5.407496929168701
01/02/2012,209.87999,0.4062891,5.185384750366211
01/03/2012,210.87396,0.47359467,5.134746551513672
01/04/2012,211.54625,0.31881332,4.877434730529785
01/05/2012,212.39574,0.4015565,4.812372207641602
01/06/2012,213.29546,0.4236102,4.831510543823242
01/07/2012,214.09137,0.37314892,4.714480400085449
01/08/2012,215.21925,0.5268216,4.763991355895996
01/09/2012,216.06047,0.39086342,4.796514511108398
01/10/2012,216.82552,0.35408735,4.779911041259766
01/11/2012,217.58128,0.34855604,4.804934501647949
01/12/2012,218.41534,0.3833294,4.889780044555664
01/01/2013,219.4064,0.45374632,4.963702201843262
01/02/2013,220.51524,0.5053878,5.067306041717529
01/03/2013,221.21982,0.31951666,4.906178951263428
01/04/2013,221.98607,0.3463745,4.934998512268066
01/05/2013,222.63028,0.2902031,4.818621635437012
01/06/2013,223.42157,0.3554225,4.7474565505981445
01/07/2013,223.97421,0.24735928,4.616175651550293
01/08/2013,224.36716,0.17544031,4.250499725341797
01/09/2013,224.81404,0.19917488,4.051446437835693
01/10/2013,225.42941,0.27372837,3.968116521835327
01/11/2013,226.1119,0.3027439,3.9206485748291016
01/12/2013,226.57341,0.20411015,3.735114574432373
01/01/2014,227.12367,0.24286509,3.5173380374908447
01/02/2014,227.71228,0.259161,3.2637414932250977
