,cpi_sub,ln_cpi_sub,mom,MSE
2001M1,101.5054,462.0111999,1.5053988,NaN
2001M2,102.56437,463.0490601,1.0432601,NaN
2001M3,103.29289,463.7568545,0.71030855,NaN
2001M4,103.81782,464.2637632,0.5081892,NaN
2001M5,104.301056,464.7281487,0.4654646,NaN
2001M6,105.05825,465.4514958,0.72597265,NaN
2001M7,105.740425,466.098727,0.649333,NaN
2001M8,107.16067,467.4329297,1.343143,NaN
2001M9,107.973755,468.1888188,0.7587552,NaN
2001M10,108.90098,469.0439029,0.85874796,NaN
2001M11,109.71497,469.7885821,0.7474661,NaN
2001M12,110.49046,470.4929182,0.70682764,10.49046326
2002M1,112.62706,472.4082007,1.9337416,10.9567194
2002M2,113.935875,473.563579,1.162076,11.08718777
2002M3,114.70657,474.2377302,0.6764293,11.04981422
2002M4,115.397446,474.8382222,0.602293,11.15379715
2002M5,115.835495,475.2171038,0.37959814,11.05879116
2002M6,116.391975,475.696359,0.48040152,10.78803349
2002M7,116.90482,476.1360099,0.44062138,10.55830193
2002M8,117.397995,476.5569829,0.42185783,9.553257942
2002M9,117.838646,476.9316282,0.37534237,9.13638401
2002M10,118.34456,477.360037,0.42933226,8.671718597
2002M11,118.84373,477.7809437,0.42179823,8.320429802
2002M12,119.3521,478.2077948,0.4277587,8.02026844
2003M1,120.80117,479.4145971,1.2141109,7.257672787
2003M2,121.75279,480.1992678,0.7877588,6.860801697
2003M3,122.32575,480.6687568,0.4705906,6.642316818
2003M4,122.976295,481.1991613,0.5318165,6.567608356
2003M5,123.5094,481.6317267,0.43350458,6.624834061
2003M6,124.06946,482.084157,0.4534483,6.596236706
2003M7,124.50622,482.4355674,0.35202503,6.502205849
2003M8,124.86682,482.7247729,0.2896309,6.361972332
2003M9,125.25152,483.0323876,0.3080845,6.290703297
2003M10,125.62713,483.3318234,0.2998829,6.153707504
2003M11,125.95718,483.5942008,0.26272535,5.985545158
2003M12,126.43961,483.9764803,0.38301945,5.938323021
2004M1,128.11227,485.2906989,1.3228893,6.05218029
2004M2,129.03287,486.0067178,0.7185817,5.979390144
2004M3,129.65968,486.4913172,0.48577785,5.99541378
2004M4,130.15791,486.8748406,0.38425922,5.839831352
2004M5,130.89682,487.4409379,0.5676985,5.98126173
2004M6,131.65363,488.0174459,0.57816505,6.11283493
2004M7,132.11655,488.3684488,0.35161972,6.112410545
2004M8,132.82349,488.9021104,0.5350828,6.372114182
2004M9,133.54968,489.4473543,0.5467415,6.625195026
2004M10,134.30539,490.0116237,0.56586266,6.907956123
2004M11,135.22697,490.6954626,0.6861806,7.359485626
2004M12,135.94865,491.2277241,0.53367615,7.520614624
2005M1,138.05606,492.7659835,1.5501499,7.761774063
2005M2,139.14626,493.552561,0.7896781,7.837842941
2005M3,139.84258,494.0517361,0.5004287,7.853556633
2005M4,140.41011,494.4567498,0.4058361,7.876744747
2005M5,141.2552,495.0568184,0.6018758,7.913393021
2005M6,141.94,495.5404433,0.48480034,7.813214302
2005M7,142.57245,495.9850292,0.44556856,7.914147854
2005M8,142.9981,496.2831343,0.29854774,7.660250664
2005M9,143.704,496.7755628,0.49364567,7.603399277
2005M10,144.81033,497.5424817,0.76987743,7.821681023
2005M11,145.65916,498.1269372,0.586164,7.71458292
2005M12,146.43095,498.6553986,0.52986145,7.710479736
2006M1,148.2323,499.8780638,1.2301683,7.371087551
2006M2,149.0487,500.4273098,0.55075884,7.116580009
2006M3,149.76862,500.909157,0.48300028,7.098010063
2006M4,150.47157,501.3774163,0.46936274,7.165767193
2006M5,151.03192,501.7491205,0.3723979,6.921318054
2006M6,151.55623,502.0956711,0.34714937,6.774850845
2006M7,152.17404,502.5024866,0.4076481,6.734538078
2006M8,152.6714,502.8287899,0.3268361,6.764638901
2006M9,153.13158,503.1297552,0.3014207,6.56042099
2006M10,153.627,503.4527587,0.3235221,6.088421345
2006M11,154.09619,503.7577018,0.3054142,5.792313576
2006M12,154.88002,504.2650753,0.50866604,5.770004272
2007M1,156.63223,505.3900573,1.1313319,5.666731834
2007M2,157.63554,506.028566,0.6405473,5.761095047
2007M3,158.59338,506.6343568,0.6076336,5.892267704
2007M4,159.31099,507.0858204,0.4524827,5.874484062
2007M5,159.9518,507.487252,0.40223598,5.905948639
2007M6,160.66324,507.9310497,0.44478178,6.008992195
2007M7,161.41852,508.4000495,0.47010183,6.074940681
2007M8,162.32567,508.9604626,0.56198835,6.323566437
2007M9,163.13309,509.4566371,0.49741268,6.531322479
2007M10,163.83514,509.8860678,0.43035746,6.644756317
2007M11,164.97464,510.5791765,0.6955147,7.059518337
2007M12,166.32372,511.393601,0.8177519,7.388747215
2008M1,168.62518,512.7678382,1.3837337,7.65675354
2008M2,170.18726,513.689936,0.92636347,7.962492466
2008M3,171.65474,514.5485134,0.86227655,8.235754967
2008M4,173.03517,515.3494869,0.80418587,8.614712715
2008M5,174.52792,516.2084729,0.86268187,9.112820625
2008M6,176.0881,517.0984438,0.89393854,9.600751877
2008M7,177.89664,518.1202707,1.0270596,10.20831871
2008M8,178.8411,518.6497702,0.5308986,10.17425346
2008M9,179.86006,519.2179104,0.5697608,10.25357437
2008M10,181.00076,519.850123,0.63421726,10.47737312
2008M11,181.96272,520.3801831,0.5314708,10.29738903
2008M12,182.5902,520.7244297,0.3448367,9.780011177
2009M1,183.74861,521.3568573,0.63443184,8.968668938
2009M2,184.38963,521.7051073,0.34885406,8.345153809
2009M3,184.75447,521.9027754,0.19786358,7.631449223
2009M4,185.11111,522.0956239,0.1930356,6.978898048
2009M5,185.57555,522.3462077,0.25088787,6.330002308
2009M6,186.02003,522.5854356,0.2395153,5.640311241
2009M7,186.57248,522.8819796,0.2969861,4.876896381
2009M8,187.02747,523.1255504,0.24386644,4.57746172
2009M9,187.66565,523.4661922,0.34122467,4.339818478
2009M10,188.05669,523.674346,0.20836592,3.898287058
2009M11,188.55624,523.9396318,0.26564598,3.623552322
2009M12,188.94713,524.146724,0.20730495,3.481530666
2010M1,190.223,524.8197068,0.675261,3.523509979
2010M2,190.90393,525.1770317,0.35796165,3.532900333
2010M3,191.7623,525.6256584,0.4496336,3.79304719
2010M4,192.37979,525.9471491,0.32200813,3.926661491
2010M5,192.99484,526.2663453,0.3197074,3.997990131
2010M6,193.59508,526.5768761,0.31100512,4.072162628
2010M7,194.20598,526.8919348,0.3155589,4.091439724
2010M8,194.69432,527.1430739,0.25146008,4.099318981
2010M9,195.26405,527.4352745,0.29263496,4.048909187
2010M10,195.81108,527.7150317,0.28014183,4.123434067
2010M11,196.3424,527.9860074,0.27134418,4.129367352
2010M12,197.1595,528.4013046,0.41615963,4.346385002
2011M1,198.30727,528.9817696,0.58214664,4.249886513
2011M2,199.5334,529.5981641,0.6183028,4.520317554
2011M3,200.57494,530.1187942,0.5219817,4.595595837
2011M4,201.70807,530.6821454,0.56494474,4.848886013
2011M5,202.64377,531.144961,0.46389103,4.999572277
2011M6,203.46503,531.5494147,0.40527582,5.098243237
2011M7,204.4525,532.0335675,0.48532486,5.276104927
2011M8,205.43246,532.5117318,0.4793167,5.515389442
2011M9,206.17142,532.8707959,0.3597021,5.585961819
2011M10,206.93425,533.240111,0.3700018,5.680561066
2011M11,207.60596,533.564186,0.32459497,5.736684799
2011M12,208.23322,533.8658702,0.30213594,5.616632462
2012M1,209.03073,534.2481275,0.3829956,5.407496929
2012M2,209.87999,534.6535891,0.4062891,5.18538475
2012M3,210.87396,535.1260609,0.47359467,5.134746552
2012M4,211.54625,535.4443651,0.31881332,4.877434731
2012M5,212.39574,535.8451233,0.4015565,4.812372208
2012M6,213.29546,536.2678341,0.4236102,4.831510544
2012M7,214.09137,536.6402887,0.37314892,4.7144804
2012M8,215.21925,537.1657276,0.5268216,4.763991356
2012M9,216.06047,537.5558322,0.39086342,4.796514511
2012M10,216.82552,537.9092975,0.35408735,4.779911041
2012M11,217.58128,538.2572482,0.34855604,4.804934502
2012M12,218.41534,538.6398479,0.3833294,4.889780045
2013M1,219.4064,539.0925718,0.45374632,4.963702202
2013M2,220.51524,539.5966808,0.5053878,5.067306042
2013M3,221.21982,539.9156868,0.31951666,4.906178951
2013M4,221.98607,540.2614632,0.3463745,4.934998512
2013M5,222.63028,540.5512458,0.2902031,4.818621635
2013M6,223.42157,540.9060435,0.3554225,4.747456551
2013M7,223.97421,541.1530911,0.24735928,4.616175652
2013M8,224.36716,541.3283817,0.17544031,4.250499725
2013M9,224.81404,541.5273572,0.19917488,4.051446438
2013M10,225.42941,541.8007072,0.27372837,3.968116522
2013M11,226.1119,542.1030009,0.3027439,3.920648575
2013M12,226.57341,542.3068998,0.20411015,3.735114574
2014M1,227.12367,542.5494671,0.24286509,3.517338037
2014M2,227.71228,542.8082902,0.259161,3.263741493
2014M3,228.5207,543.1626797,0.3550172,3.300281048
2014M4,229.07924,543.406797,0.2444148,3.195325851
2014M5,229.64725,543.6544436,0.24795532,3.151841164
2014M6,230.17828,543.8854139,0.23124218,3.024191856
2014M7,230.72766,544.1238054,0.23866892,3.015281677
2014M8,231.21655,544.3354717,0.21189451,3.052762032
2014M9,231.65102,544.5232015,0.18789768,3.04117012
2014M10,232.1511,544.7388453,0.2158761,2.981721163
2014M11,232.60875,544.9357858,0.1971364,2.873292446
2014M12,233.03477,545.118767,0.18315315,2.851767063
2015M1,233.47234,545.3063612,0.18776655,2.795238256
2015M2,234.20435,545.6194025,0.31353235,2.85099268
2015M3,234.79874,545.8728722,0.25379658,2.747250557
2015M4,235.38736,546.1232498,0.25069714,2.753691912
2015M5,236.02936,546.3956204,0.27273893,2.779094458
2015M6,236.71852,546.6871756,0.2919793,2.84138298
2015M7,237.31323,546.9380914,0.25123358,2.854259253
2015M8,237.87901,547.1762183,0.23840666,2.881484509
2015M9,238.27773,547.3436926,0.16760826,2.860644579
2015M10,238.89304,547.601592,0.25823116,2.90411973
2015M11,239.35355,547.7941748,0.19277334,2.8996315
2015M12,239.801,547.9809413,0.18694401,2.903522015
2016M1,240.33147,548.2019095,0.22121668,2.937875032
2016M2,240.83789,548.4124052,0.21071434,2.832374334
2016M3,241.42659,548.6565452,0.24443865,2.822784185
2016M4,241.90959,548.8564061,0.20005703,2.770847321
2016M5,242.43956,549.0752442,0.21908283,2.715851784
2016M6,242.9705,549.2940037,0.21899939,2.641103983
2016M7,243.46765,549.4984079,0.20461082,2.593374729
2016M8,243.94984,549.696263,0.19805431,2.552072525
2016M9,244.27747,549.8304751,0.13430119,2.517960072
2016M10,244.90685,550.0877934,0.25764704,2.51736784
2016M11,245.37148,550.2773307,0.18972158,2.514239311
2016M12,245.85765,550.475271,0.19813776,2.525698423
2017M1,246.61954,550.7846825,0.30988455,2.616421938
2017M2,247.1831,551.0129358,0.22851229,2.634644508
2017M3,247.66112,551.206136,0.19338131,2.582374573
2017M4,248.02774,551.3540595,0.1480341,2.529108286
2017M5,248.4752,551.5343042,0.18041134,2.489539862
2017M6,248.83153,551.6776081,0.14340878,2.412236691
2017M7,249.20207,551.8264093,0.14891624,2.355314255
2017M8,249.53534,551.9600548,0.13372898,2.289608002
2017M9,249.91264,552.1111417,0.15120506,2.306873083
2017M10,250.4988,552.345413,0.23454428,2.283293486
2017M11,251.06401,552.5707927,0.22563934,2.319972277
2017M12,251.42996,552.7164462,0.1457572,2.266479731
2018M1,252.0065,552.9454881,0.22929907,2.184317112
2018M2,252.60577,553.1830052,0.23779869,2.193780899
2018M3,253.10634,553.3809717,0.1981616,2.198655844
2018M4,253.58475,553.5698087,0.18901825,2.24047327
2018M5,254.09026,553.7689558,0.19934177,2.259801388
2018M6,254.81023,554.0519072,0.28334856,2.40271306
2018M7,255.49382,554.3198221,0.2682805,2.524763107
2018M8,256.01483,554.5235372,0.20391941,2.596632719
2018M9,256.49783,554.7120205,0.18866062,2.635004997
2018M10,256.9307,554.8806399,0.16875267,2.567640066
2018M11,257.3555,555.0458398,0.16534328,2.505934954
2018M12,257.6934,555.1770506,0.13129711,2.491111279
2019M1,257.90338,555.2585019,0.08149147,2.339975357
2019M2,258.35104,555.431928,0.17358065,2.274407387
2019M3,259.00323,555.6840533,0.2524495,2.32981658
2019M4,259.52286,555.8844791,0.20062923,2.34166646
2019M5,260.04837,556.0867652,0.2024889,2.344880342
2019M6,260.62073,556.3066209,0.22009611,2.280326605
2019M7,260.9953,556.4502399,0.14371872,2.153278828
2019M8,261.37665,556.596247,0.14611483,2.094343424
2019M9,261.7059,556.7221354,0.12596846,2.030451298
2019M10,262.15744,556.8945239,0.1725316,2.034308672
2019M11,262.61542,557.0690681,0.17470121,2.043827534
2019M12,262.98395,557.2093004,0.14033318,2.053048611
2020M1,263.54858,557.4237715,0.21470785,2.188885212
2020M2,263.91107,557.561219,0.13754368,2.152122736
2020M3,264.2914,557.7052282,0.14411211,2.041748047
2020M4,264.60968,557.8255835,0.120425224,1.960058689
