"Variables ->","ln_y_star","ln_ipei","i_star","ln_y","ln_cpi_sub","ln_s","ln_bm","i","ln_cpi"
"Comments ->","","","","","","","","",""
"Class[Size] ->","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]","tseries[136-by-1]"
"2008Q3",9.73236110e+02,4.91873607e+02,2.02000000e+00,1.13855576e+03,5.18662651e+02,2.00641890e+02,1.01992091e+03,7.12681159e+00,4.55353159e+02
"2008Q4",9.71023042e+02,4.79038975e+02,2.93333330e-01,1.14274587e+03,5.20318245e+02,2.03160361e+02,1.02257571e+03,7.25000000e+00,4.55794005e+02
"2009Q1",9.69881609e+02,4.73848203e+02,2.03333330e-01,1.14173925e+03,5.21654913e+02,2.07478347e+02,1.02067395e+03,6.87727273e+00,4.54643785e+02
"2009Q2",9.69702288e+02,4.76265998e+02,2.03333330e-01,1.13997513e+03,5.22342422e+02,2.09268457e+02,1.02548527e+03,5.80303030e+00,4.54425696e+02
"2009Q3",9.70053258e+02,4.78391874e+02,1.33333330e-01,1.13993168e+03,5.23157907e+02,2.11059300e+02,1.02718022e+03,4.86429513e+00,4.55018290e+02
"2009Q4",9.71128534e+02,4.80299731e+02,9.66666700e-02,1.14493356e+03,5.23920234e+02,2.11946017e+02,1.03141000e+03,4.50000000e+00,4.55278502e+02
"2010Q1",9.71611526e+02,4.82080646e+02,1.13333330e-01,1.14471278e+03,5.25207466e+02,2.10153674e+02,1.03337777e+03,4.50000000e+00,4.57221149e+02
"2010Q2",9.72574749e+02,4.82886326e+02,1.60000000e-01,1.14305692e+03,5.26263457e+02,2.08027435e+02,1.03245866e+03,4.50000000e+00,4.58135318e+02
"2010Q3",9.73342850e+02,4.82474272e+02,1.80000000e-01,1.14171942e+03,5.27156761e+02,2.08400702e+02,1.03412125e+03,4.50000000e+00,4.58931068e+02
"2010Q4",9.73866597e+02,4.85233801e+02,1.76666670e-01,1.14812814e+03,5.28034115e+02,2.08109784e+02,1.03871161e+03,4.50000000e+00,4.60205797e+02
"2011Q1",9.73628709e+02,4.89767673e+02,1.43333330e-01,1.14861977e+03,5.29566243e+02,2.05787725e+02,1.04362698e+03,4.50000000e+00,4.62141360e+02
"2011Q2",9.74303120e+02,4.93814731e+02,8.66666700e-02,1.14746180e+03,5.31125507e+02,2.03987812e+02,1.04385147e+03,4.75000000e+00,4.64142911e+02
"2011Q3",9.74280811e+02,4.93554523e+02,8.33333300e-02,1.14729635e+03,5.32472032e+02,2.05581946e+02,1.04245313e+03,4.91666667e+00,4.65981262e+02
"2011Q4",9.75397775e+02,4.92865879e+02,7.66666700e-02,1.15168673e+03,5.33556722e+02,2.05668074e+02,1.04660516e+03,5.50000000e+00,4.66315447e+02
"2012Q1",9.76232713e+02,4.93521922e+02,1.00000000e-01,1.15231207e+03,5.34675926e+02,2.05069006e+02,1.04920403e+03,5.50000000e+00,4.67067124e+02
"2012Q2",9.76677969e+02,4.93021378e+02,1.36666670e-01,1.15013923e+03,5.35852441e+02,2.05282385e+02,1.04776254e+03,5.50000000e+00,4.67950380e+02
"2012Q3",9.76822323e+02,4.91989687e+02,1.16666670e-01,1.14974489e+03,5.37120616e+02,2.06598362e+02,1.04808090e+03,5.00000000e+00,4.68889107e+02
"2012Q4",9.76937885e+02,4.92619673e+02,1.43333330e-01,1.15523194e+03,5.38268798e+02,2.06432737e+02,1.05628859e+03,5.00000000e+00,4.69564737e+02
"2013Q1",9.77919336e+02,4.93061523e+02,1.26666670e-01,1.15517580e+03,5.39534980e+02,2.05965454e+02,1.05741630e+03,5.00000000e+00,4.71110642e+02
"2013Q2",9.78186779e+02,4.92087716e+02,1.00000000e-01,1.15444398e+03,5.40572918e+02,2.05454972e+02,1.05855720e+03,5.25000000e+00,4.72253139e+02
"2013Q3",9.79034685e+02,4.91857722e+02,7.33333300e-02,1.15363686e+03,5.41336277e+02,2.06473132e+02,1.05800544e+03,5.25000000e+00,4.73247647e+02
"2013Q4",9.79902108e+02,4.91151006e+02,7.00000000e-02,1.15791808e+03,5.42070203e+02,2.06769279e+02,1.06210762e+03,5.00000000e+00,4.73861763e+02
"2014Q1",9.79556821e+02,4.92268370e+02,6.33333300e-02,1.15925706e+03,5.42840146e+02,2.05153491e+02,1.05759359e+03,5.00000000e+00,4.74675504e+02
"2014Q2",9.80840185e+02,4.92367229e+02,8.66666700e-02,1.15866413e+03,5.43648885e+02,2.04897515e+02,1.06146651e+03,4.75000000e+00,4.75410225e+02
"2014Q3",9.82048087e+02,4.91556185e+02,7.33333300e-02,1.15785492e+03,5.44327493e+02,2.04982983e+02,1.06315606e+03,4.50000000e+00,4.76708841e+02
"2014Q4",9.82552601e+02,4.88049409e+02,7.00000000e-02,1.16277205e+03,5.44931133e+02,2.03208613e+02,1.06702204e+03,4.33333333e+00,4.77129787e+02
"2015Q1",9.83449111e+02,4.83425702e+02,6.00000000e-02,1.16382077e+03,5.45599545e+02,2.03339703e+02,1.07107768e+03,3.83333333e+00,4.77041666e+02
"2015Q2",9.84066489e+02,4.83462673e+02,8.00000000e-02,1.16174423e+03,5.46402015e+02,2.03818241e+02,1.07560149e+03,3.50000000e+00,4.77883198e+02
"2015Q3",9.84466069e+02,4.81575685e+02,7.66666700e-02,1.16265630e+03,5.47152667e+02,2.03645221e+02,1.07587343e+03,3.25000000e+00,4.78741553e+02
"2015Q4",9.84650442e+02,4.79323255e+02,1.16666670e-01,1.16637966e+03,5.47792236e+02,2.03447894e+02,1.08023493e+03,3.00000000e+00,4.79697750e+02
"2016Q1",9.85228373e+02,4.76940673e+02,2.76666670e-01,1.16548317e+03,5.48423620e+02,2.03808205e+02,1.08045597e+03,3.00000000e+00,4.81256987e+02
"2016Q2",9.85548882e+02,4.78547757e+02,2.96666670e-01,1.16537913e+03,5.49075218e+02,2.03812773e+02,1.08396586e+03,3.00000000e+00,4.82086311e+02
"2016Q3",9.86255618e+02,4.79254536e+02,2.96666670e-01,1.16470482e+03,5.49675049e+02,2.02218364e+02,1.08498229e+03,3.00000000e+00,4.83274971e+02
"2016Q4",9.86808833e+02,4.79711720e+02,3.90000000e-01,1.16958993e+03,5.50280132e+02,2.01521565e+02,1.09002507e+03,3.00000000e+00,4.84151695e+02
"2017Q1",9.87294071e+02,4.80622647e+02,6.50000000e-01,1.17009038e+03,5.51001251e+02,2.00560587e+02,1.09220422e+03,3.00000000e+00,4.85108268e+02
"2017Q2",9.87852353e+02,4.80687679e+02,9.06666670e-01,1.16783577e+03,5.51521991e+02,1.99336931e+02,1.09531356e+03,3.00000000e+00,4.86133361e+02
"2017Q3",9.88638209e+02,4.81216828e+02,1.06666667e+00,1.16776435e+03,5.51965869e+02,1.98711419e+02,1.09568726e+03,3.00000000e+00,4.87931913e+02
"2017Q4",9.89759020e+02,4.82634847e+02,1.15666667e+00,1.17162232e+03,5.52544217e+02,1.99320619e+02,1.10073598e+03,2.83333333e+00,4.88893783e+02
"2018Q1",9.90569012e+02,4.83884236e+02,1.45333333e+00,1.17272995e+03,5.53169822e+02,1.99678010e+02,1.10275354e+03,2.75000000e+00,4.89351464e+02
"2018Q2",9.91098438e+02,4.84990468e+02,1.76666667e+00,1.17201488e+03,5.53796891e+02,2.00722669e+02,1.10121142e+03,2.75000000e+00,4.89990171e+02
"2018Q3",9.91720306e+02,4.84905868e+02,2.00000000e+00,1.17120437e+03,5.54518460e+02,2.02104414e+02,1.10165724e+03,2.75000000e+00,4.91376248e+02
"2018Q4",9.91861751e+02,4.84060855e+02,2.26666667e+00,1.17478149e+03,5.55034510e+02,2.04359599e+02,1.10798326e+03,2.75000000e+00,4.92104349e+02
"2019Q1",9.92403500e+02,4.83517318e+02,2.41000000e+00,1.17640784e+03,5.55458161e+02,2.04370097e+02,1.10913839e+03,2.75000000e+00,4.93509708e+02
"2019Q2",9.93229364e+02,4.84036559e+02,2.41666667e+00,1.17572703e+03,5.56092622e+02,2.03761237e+02,1.11150361e+03,2.75000000e+00,4.94578970e+02
"2019Q3",9.94355406e+02,4.83094088e+02,2.14333333e+00,1.17516869e+03,5.56589541e+02,2.03916697e+02,1.11451378e+03,2.75000000e+00,4.94386019e+02
"2019Q4",9.94994643e+02,4.82726466e+02,1.56333333e+00,1.17917202e+03,5.57057631e+02,2.04362966e+02,1.12095858e+03,2.75000000e+00,4.94893987e+02
"2020Q1",9.93622576e+02,4.81876667e+02,1.08333333e+00,1.17716475e+03,5.57563406e+02,2.03820946e+02,1.12121947e+03,2.75000000e+00,4.95093024e+02
"2020Q2",9.85402416e+02,4.78024038e+02,6.00000000e-02,1.16627934e+03,5.57995168e+02,2.04136791e+02,1.12768625e+03,2.00000000e+00,4.96582204e+02
"2020Q3",9.92875561e+02,4.80918687e+02,9.33333300e-02,1.17376955e+03,5.58512942e+02,2.04373730e+02,1.13369382e+03,1.75000000e+00,4.98314717e+02
"2020Q4",9.93905255e+02,4.81948851e+02,9.00000000e-02,1.18146362e+03,5.59107936e+02,2.05290247e+02,1.14185320e+03,1.75000000e+00,4.99972826e+02
"2021Q1",9.95182523e+02,4.86165734e+02,8.00000000e-02,1.18154374e+03,5.59910721e+02,2.04793359e+02,1.14241247e+03,1.75000000e+00,5.00628903e+02
"2021Q2",9.96690826e+02,4.90307829e+02,7.00000000e-02,1.18060083e+03,5.60631304e+02,2.04424570e+02,1.14358589e+03,1.75000000e+00,5.01232176e+02
"2021Q3",9.97502186e+02,4.92239020e+02,9.00000000e-02,1.18163203e+03,5.61361305e+02,2.04620061e+02,1.14541659e+03,1.75000000e+00,5.01948347e+02
"2021Q4",9.99184636e+02,4.94263878e+02,8.00000000e-02,1.18621145e+03,5.62580278e+02,2.04503375e+02,1.15361753e+03,1.75000000e+00,5.02899513e+02
"2022Q1",9.98685856e+02,4.98744507e+02,1.20000000e-01,1.18619885e+03,5.64310075e+02,2.04102366e+02,1.15366100e+03,1.75000000e+00,5.03912444e+02
"2022Q2",9.98544535e+02,5.03385263e+02,7.70000000e-01,1.18496101e+03,5.66861572e+02,2.03982069e+02,1.15684966e+03,2.00000000e+00,5.07049845e+02
"2022Q3",9.99200654e+02,5.00706388e+02,2.19000000e+00,1.18534271e+03,5.69384376e+02,2.04859625e+02,1.15844422e+03,2.66666667e+00,5.10340773e+02
"2022Q4",9.99834308e+02,4.98525330e+02,3.65333333e+00,1.18965420e+03,5.71456323e+02,2.06039100e+02,1.16471438e+03,3.50000000e+00,5.11855195e+02
"2023Q1",1.00038893e+03,4.97310506e+02,4.51666667e+00,1.18997499e+03,5.72958592e+02,2.05777230e+02,1.16580592e+03,4.41666667e+00,5.12933757e+02
"2023Q2",1.00089911e+03,4.96192199e+02,4.99000000e+00,1.18879876e+03,5.74179561e+02,2.05612359e+02,1.16892470e+03,4.91666667e+00,5.13426663e+02
"2023Q3",1.00208572e+03,4.96412230e+02,5.26000000e+00,1.18901022e+03,5.75401732e+02,2.06165907e+02,1.16932245e+03,5.00000000e+00,5.14804461e+02
"2023Q4",1.00287536e+03,4.95631451e+02,5.33000000e+00,1.19364915e+03,5.76679364e+02,2.05814313e+02,1.17536134e+03,5.00000000e+00,5.16243625e+02
"2024Q1",1.00275557e+03,4.95585659e+02,5.27864845e+00,1.19368874e+03,5.77812336e+02,2.05711214e+02,1.17623696e+03,5.10168251e+00,5.17149484e+02
"2024Q2",1.00296649e+03,4.95355902e+02,5.22795820e+00,1.19239660e+03,5.78770126e+02,2.05687888e+02,1.17900983e+03,5.18056909e+00,5.17541247e+02
"2024Q3",1.00402031e+03,4.96251296e+02,5.17792072e+00,1.19254589e+03,5.79805884e+02,2.06360464e+02,1.17899595e+03,5.24359485e+00,5.18862110e+02
"2024Q4",1.00475103e+03,4.95983844e+02,5.12852761e+00,1.19713881e+03,5.80952338e+02,2.06104097e+02,1.18460099e+03,5.29520978e+00,5.20270275e+02
"2025Q1",1.00460509e+03,4.96328218e+02,5.07977057e+00,1.19713709e+03,5.81993640e+02,2.06073501e+02,1.18504915e+03,5.33820642e+00,5.21159177e+02
"2025Q2",1.00480440e+03,4.96395015e+02,5.03164141e+00,1.19580576e+03,5.82887834e+02,2.06102289e+02,1.18741910e+03,5.37429715e+00,5.21540544e+02
"2025Q3",1.00585308e+03,4.97515814e+02,4.98413205e+00,1.19591800e+03,5.83879810e+02,2.06809484e+02,1.18703756e+03,5.40451181e+00,5.22853113e+02
"2025Q4",1.00658151e+03,4.97419685e+02,4.93723450e+00,1.20047664e+03,5.84996361e+02,2.06573254e+02,1.19231581e+03,5.42946735e+00,5.24252653e+02
"2026Q1",1.00643456e+03,4.97894277e+02,4.89094088e+00,1.20044397e+03,5.86017415e+02,2.06551182e+02,1.19248019e+03,5.44954681e+00,5.25131483e+02
"2026Q2",1.00663342e+03,4.98060050e+02,4.84524341e+00,1.19908531e+03,5.86898035e+02,2.06579474e+02,1.19460910e+03,5.46501492e+00,5.25501050e+02
"2026Q3",1.00768190e+03,4.99256077e+02,4.80013443e+00,1.19917395e+03,5.87881030e+02,2.07279401e+02,1.19402755e+03,5.47608974e+00,5.26800299e+02
"2026Q4",1.00841024e+03,4.99217128e+02,4.75560635e+00,1.20371267e+03,5.88991759e+02,2.07031026e+02,1.19914413e+03,5.48298437e+00,5.28185473e+02
"2027Q1",1.00826325e+03,4.99735181e+02,4.71165169e+00,1.20366359e+03,5.90009179e+02,2.06993490e+02,1.19918196e+03,5.48592874e+00,5.29049477e+02
"2027Q2",1.00846210e+03,4.99933987e+02,4.66826306e+00,1.20229177e+03,5.90887705e+02,2.07004245e+02,1.20121601e+03,5.48517832e+00,5.29404357e+02
"2027Q3",1.00951056e+03,5.01155122e+02,4.62543318e+00,1.20237025e+03,5.91869725e+02,2.07685540e+02,1.20056777e+03,5.48101485e+00,5.30689615e+02
"2027Q4",1.01023891e+03,5.01135256e+02,4.58315486e+00,1.20690148e+03,5.92980332e+02,2.07418185e+02,1.20564240e+03,5.47374234e+00,5.32061975e+02
"2028Q1",1.01009192e+03,5.01667814e+02,4.54142098e+00,1.20684728e+03,5.93998319e+02,2.07361873e+02,1.20565973e+03,5.46368058e+00,5.32914729e+02
"2028Q2",1.01029076e+03,5.01877646e+02,4.50022454e+00,1.20547243e+03,5.94878005e+02,2.07354454e+02,1.20769167e+03,5.45115778e+00,5.33260216e+02
"2028Q3",1.01133922e+03,5.03107160e+02,4.45955861e+00,1.20554966e+03,5.95861720e+02,2.08018447e+02,1.20705685e+03,5.43650323e+00,5.34538139e+02
"2028Q4",1.01206757e+03,5.03093663e+02,4.41941637e+00,1.21008119e+03,5.96974525e+02,2.07734832e+02,1.21215786e+03,5.42004052e+00,5.35905339e+02
"2029Q1",1.01192058e+03,5.03631063e+02,4.37979107e+00,1.21002857e+03,5.97995192e+02,2.07663395e+02,1.21221219e+03,5.40208174e+00,5.36755153e+02
"2029Q2",1.01211942e+03,5.03844574e+02,4.34067605e+00,1.20865639e+03,5.98878022e+02,2.07642022e+02,1.21428966e+03,5.38292270e+00,5.37099900e+02
"2029Q3",1.01316789e+03,5.05076885e+02,4.30206475e+00,1.20873715e+03,5.99865328e+02,2.08293221e+02,1.21370706e+03,5.36283923e+00,5.38379215e+02
"2029Q4",1.01389623e+03,5.05065514e+02,4.26395067e+00,1.21327291e+03,6.00982152e+02,2.07997935e+02,1.21886534e+03,5.34208456e+00,5.39749829e+02
"2030Q1",1.01374924e+03,5.05604529e+02,4.22632742e+00,1.21322506e+03,6.02007240e+02,2.07915888e+02,1.21898059e+03,5.32088761e+00,5.40604938e+02
"2030Q2",1.01394808e+03,5.05819268e+02,4.18918867e+00,1.21185805e+03,6.02894866e+02,2.07884892e+02,1.22112139e+03,5.29945213e+00,5.40956702e+02
"2030Q3",1.01499655e+03,5.07052513e+02,4.15252817e+00,1.21194427e+03,6.03887309e+02,2.08527375e+02,1.22060351e+03,5.27795655e+00,5.42244581e+02
"2030Q4",1.01572489e+03,5.07041851e+02,4.11633979e+00,1.21648567e+03,6.05009576e+02,2.08224192e+02,1.22582702e+03,5.25655443e+00,5.43625123e+02
"2031Q1",1.01557790e+03,5.07581405e+02,4.08061743e+00,1.21644357e+03,6.06040374e+02,2.08134984e+02,1.22600730e+03,5.23537538e+00,5.44491342e+02
"2031Q2",1.01577675e+03,5.07796554e+02,4.04535509e+00,1.21508231e+03,6.06933937e+02,2.08097478e+02,1.22821234e+03,5.21452633e+00,5.44855216e+02
"2031Q3",1.01682521e+03,5.09030110e+02,4.01054684e+00,1.21517426e+03,6.07932505e+02,2.08734025e+02,1.22775743e+03,5.19409310e+00,5.46156030e+02
"2031Q4",1.01755355e+03,5.09019686e+02,3.97618685e+00,1.21972131e+03,6.09061045e+02,2.08425406e+02,1.23304229e+03,5.17414215e+00,5.47550167e+02
"2032Q1",1.01740656e+03,5.09559420e+02,3.94226934e+00,1.21968472e+03,6.10098226e+02,2.08331194e+02,1.23328202e+03,5.15472239e+00,5.48430487e+02
