"Variables ->","ln_y_star","ln_y_star_sm","ln_ipei","ln_cpi_nosub","ln_y","ln_y_sm","ln_cpi_sub","ln_s","ln_bm","ln_cpi","ln_z","ln_v","ln_ipei_q","d4_ln_y_star","d4_ln_y_star_sm","d4_ln_ipei","i_star","d4_ln_cpi_nosub","d4_ln_y","d4_ln_y_sm","d4_ln_cpi_sub","d4_ln_s","d4_ln_bm","i","d4_ln_cpi","d4_ln_z","d4_ln_v","r","d4_ln_ipei_q","dla_ipei","dla_z","dla_s","dla_cpi_nosub","dla_cpi_sub","dla_cpi","dla_bm","dla_v","dla_ipei_q","dla_y_star","dla_y","s_dla_y_star","s_dla_ipei","s_i_star","s_dla_cpi_nosub","s_dla_y","s_dla_cpi_sub","s_dla_s","s_dla_bm","s_i"
"Comments ->","Producto Interno Bruto Real EEUU (Logaritmo)","Producto Interno Bruto Real EEUU, Suma movil de 4 trimestres (Logaritmo)","Índice de Precios de transables (Logaritmo)","Indice Inflación No subyacente (Logaritmo)","Producto Interno Bruto Real Guatemala (Logaritmo)","Producto Interno Bruto Real Guatemala, Suma movil de 4 trimestres (Logaritmo)","Indice Inflación Subyacente Optima MSE (Logaritmo)","Tipo de Cambio Nominal (Logaritmo)","Base Monetaria (Logaritmo)","Indice de Precios al Consumidor (Logaritmo)","Indice Tipo de Cambio Real (Logaritmo)","Velocidad de circulacion de la Base Monetaria(Logaritmo)","Índice de Precios de Transables GTQ (Logaritmo)","Tasa de Variación Interanual del PIB de EEUU","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de EEUU","Tasa de Variación Interanual del Índice de Precios de Transables","Tasa de Interes de fondos federales","Inflacion No Subyacente Interanual","Tasa de Variación Interanual del PIB de Guatemala","Tasa de Variación Interanual de la suma de 4 Trimestres del PIB de Guatemala","Inflación Subyacente Optima MSE Interanual","Tasa de Variación Interanual del Tipo de Cambio Nominal","Tasa de Variación Interanual de la Base Monetaria","Tasa de Interes Lider de Politica Monetaria","Inflacion Total Internual","Tasa de Variación Interanual del Tipo de Cambio Real","Tasa de Variación Interanual de la Velocidad de circulacion de la Base Monetaria","Tasa de interes real de Politica Monetaria","Tasa de Variación Interanual del Índice de Precios de Transables en GTQ","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Real","Tasa de Variación Intertrimestral Anualizada del Tipo de Cambio Nominal","Inflacion No Subyacente Intertrimestral Anualizada","Inflacion Subyacente Optima MSE Intertrimestral Anualizada","Inflacion Total Intertrimestral Anualizada","Tasa de Variación Intertrimestral Anualizada de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada de la Velocidad de circulacion de la Base Monetaria","Tasa de Variación Intertrimestral Anualizada del Índice de Precios de Transables en GTQ","Tasa de variación Intertrimestral Anualizada del producto externo","Tasa de variación Intertrimestral Anualizada del producto doméstico","Shock de crecimiento externo","Shock de precios de transables","Shock de tasa de interes externa","Choque de inflacion no subyacente","Choque de demanda agregada","Choque de inflacion subyacente","Choque cambiario nominal","Choque monetario","Choque de Politica Monetaria"
"Class[Size] ->","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]","tseries[128-by-1]"
".endhist","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2","2024Q2"
"2000Q1",955.15970,3817.79740,457.88914,0.04294,1112.48148,4445.19099,459.60625,205.06475,928.03680,338.37850,1.09074,-2.93573,662.95389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q2",955.72591,3819.80143,458.10232,0.03231,1113.32282,4448.41771,460.55578,205.06073,929.89424,339.38193,0.00000,0.00000,663.16305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q3",955.91352,3821.50304,458.38192,0.26099,1113.90570,4451.41928,461.46552,204.96328,931.22272,341.08292,-0.00000,-0.00000,663.34520,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2000Q4",957.22743,3824.02656,458.86296,-0.33624,1115.18249,4454.89249,462.20422,205.12612,930.12046,341.17358,-1.09074,2.93573,663.98909,NaN,NaN,NaN,5.65881,NaN,NaN,NaN,NaN,NaN,NaN,6.08550,NaN,NaN,NaN,NaN,NaN,1.92418,NaN,0.65136,-2.38891,2.95480,NaN,-4.40902,NaN,NaN,5.25568,5.10716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2001Q1",955.98064,3824.84750,460.33609,-0.04791,1115.71159,4458.12260,462.89831,204.72486,937.46194,341.57971,-0.09425,-5.83871,665.06095,0.82094,1.76252,2.44695,5.54000,-0.09085,3.23011,3.23290,3.29206,-0.33989,9.42514,5.78667,3.20121,-1.18499,-2.90297,2.40908,2.10706,5.89251,3.98594,-1.60506,1.15332,2.77636,1.62453,29.36589,-35.09776,4.28745,-4.98718,2.11639,-6.00008,6.69810,-0.05859,0.14575,4.88609,-0.33015,-1.97652,18.07794,0.01352
"2001Q2",956.60338,3825.72497,459.09315,-0.43163,1110.50941,4455.30918,464.69001,205.06956,938.30516,343.05221,-3.13457,-7.09011,664.16271,0.87747,1.48089,0.99083,4.28667,-0.46395,-2.81342,1.72287,4.13423,0.00882,8.41092,4.81667,3.67028,-3.13457,-7.09011,-1.42783,0.99965,-4.97177,-12.16128,1.37880,-1.53490,7.16682,5.88998,3.37290,-5.00563,-3.59297,2.49098,-20.80872,-1.20484,-6.70392,-1.16260,-1.96347,-23.75653,4.76331,1.53856,-2.32313,-1.17303
"2001Q3",956.20178,3826.01324,457.73910,-0.89769,1110.21623,4451.61972,466.98384,206.26031,940.24946,345.44256,-4.86412,-7.19789,663.99940,0.28827,1.12755,-0.64282,3.41000,-1.15868,-3.68947,0.05011,5.51832,1.29702,9.02674,4.76333,4.35964,-4.86412,-7.19789,-3.09026,0.65420,-5.41620,-6.91818,4.76299,-1.86423,9.17531,9.56141,7.77720,-0.43109,-0.65321,-1.60639,-1.17268,-3.34345,-4.73524,-0.77518,-1.73169,-5.38391,3.14223,2.32636,-10.74626,-0.46723
